n_rows,positive_cases,positive_rate,threshold,roc_auc,average_precision,brier_score,accuracy,precision,recall,f1,specificity,tn,fp,fn,tp,top_5pct_n,top_5pct_positive_cases,top_5pct_positive_rate,top_5pct_lift,top_10pct_n,top_10pct_positive_cases,top_10pct_positive_rate,top_10pct_lift,fold,train_rows,valid_rows,train_positive_rate,valid_positive_rate
133334,4309,0.03231733841330793,0.5,0.7697689155086915,0.12516066269207135,0.18277529729567626,0.7149339253303734,0.0745164385637089,0.6848456718496171,0.13440823483865091,0.7159387715559,92374,36651,1358,2951,6667,987,0.14804259787010648,4.58090316649171,13334,1589,0.1191690415479226,3.6874646056511287,1,266666,133334,0.032310080775201935,0.03231733841330793
133333,4308,0.032310080775201935,0.5,0.767469202901484,0.12282707932912927,0.18309282588766634,0.7113917784794462,0.07359436999326197,0.6845403899721448,0.13290069627526532,0.7122883162177872,91903,37122,1359,2949,6667,996,0.14939253037348132,4.623712686231984,13334,1574,0.11804409779511024,3.653475787213425,2,266667,133333,0.03231370960786299,0.032310080775201935
133333,4308,0.032310080775201935,0.5,0.7721005030766963,0.12331731829188085,0.18288724611361631,0.7121717804294511,0.07476472203499837,0.6952181987000928,0.1350102553699822,0.7127378415035845,91961,37064,1313,2995,6667,994,0.14909254537273137,4.614428122605013,13334,1578,0.1183440827958602,3.6627603508403968,3,266667,133333,0.03231370960786299,0.032310080775201935
