mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__reg_lambda,param_model__n_estimators,param_model__min_child_weight,param_model__max_depth,param_model__learning_rate,param_model__colsample_bytree,params,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_neg_brier_score,split1_test_neg_brier_score,split2_test_neg_brier_score,mean_test_neg_brier_score,std_test_neg_brier_score,rank_test_neg_brier_score
3.372225840886434,0.10060866849475845,0.5349140961964926,0.010486661918500267,0.8,5.0,400,1,5,0.05,1.0,"{'model__subsample': 0.8, 'model__reg_lambda': 5.0, 'model__n_estimators': 400, 'model__min_child_weight': 1, 'model__max_depth': 5, 'model__learning_rate': 0.05, 'model__colsample_bytree': 1.0}",0.12516066269207135,0.12282707932912927,0.12331731829188085,0.12376835343769382,0.0010046483149238228,1,0.7697689155086915,0.767469202901484,0.7721005030766963,0.769779540495624,0.0018907353059926786,2,-0.18277528882026672,-0.18309283256530762,-0.1828872561454773,-0.1829184591770172,0.0001315008983153342,1
4.582863648732503,0.1025450124789918,0.6368550459543864,0.03028199915344937,0.8,5.0,600,5,5,0.03,0.8,"{'model__subsample': 0.8, 'model__reg_lambda': 5.0, 'model__n_estimators': 600, 'model__min_child_weight': 5, 'model__max_depth': 5, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.8}",0.12389537349992699,0.12305522909673328,0.12396281462241042,0.12363780573969023,0.00041286295945886685,2,0.7700891799264429,0.767772749049771,0.7721473043397223,0.7700030777719787,0.001786942207974812,1,-0.1847350150346756,-0.18370486795902252,-0.184083953499794,-0.18417461216449738,0.0004254135199884888,2
3.402581532796224,0.05384739615049854,0.5607796510060629,0.0170048658894841,0.8,1.0,400,1,5,0.03,1.0,"{'model__subsample': 0.8, 'model__reg_lambda': 1.0, 'model__n_estimators': 400, 'model__min_child_weight': 1, 'model__max_depth': 5, 'model__learning_rate': 0.03, 'model__colsample_bytree': 1.0}",0.12331846998262326,0.12258993597365293,0.1213035757872366,0.12240399391450425,0.0008330188039778546,3,0.7688227273935238,0.7652899720908743,0.7700919716601746,0.7680682237148576,0.0020317081182641373,4,-0.18741275370121002,-0.18739904463291168,-0.18681615591049194,-0.18720931808153787,0.00027806396649520456,6
3.3451027870178223,0.05568868296512551,0.550642172495524,0.01350834388443804,0.8,5.0,400,5,5,0.03,0.8,"{'model__subsample': 0.8, 'model__reg_lambda': 5.0, 'model__n_estimators': 400, 'model__min_child_weight': 5, 'model__max_depth': 5, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.8}",0.12237772565443318,0.12230448457128017,0.12164506995911767,0.12210909339494368,0.00032947369729330805,4,0.7692977613084261,0.7657689312224369,0.7703628087378429,0.7684765004229019,0.0019632931073763115,3,-0.18808838725090027,-0.18763770163059235,-0.18765878677368164,-0.18779495855172476,0.00020766390625182626,7
2.668879747390747,0.026756809075121835,0.5386603673299154,0.007700970055438155,1.0,1.0,400,1,5,0.05,0.8,"{'model__subsample': 1.0, 'model__reg_lambda': 1.0, 'model__n_estimators': 400, 'model__min_child_weight': 1, 'model__max_depth': 5, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.8}",0.12236091215070033,0.12193921193503275,0.12188952168373994,0.12206321525649101,0.0002114787000855217,5,0.76727942295675,0.7651877573696158,0.768905025135844,0.7671240684874032,0.0015215389511542663,5,-0.18533317744731903,-0.18538130819797516,-0.18478356301784515,-0.18516601622104645,0.0002711481535604699,3
3.654970169067383,0.24984820850990577,0.6145571867624918,0.002580883092441445,1.0,1.0,600,1,5,0.03,0.8,"{'model__subsample': 1.0, 'model__reg_lambda': 1.0, 'model__n_estimators': 600, 'model__min_child_weight': 1, 'model__max_depth': 5, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.8}",0.12235427451576505,0.12149020521647666,0.12197122892890427,0.12193856955371533,0.000353509938176174,6,0.766968516079749,0.7644872595462326,0.7688622924918822,0.7667726893726213,0.0017914592549647219,7,-0.18635040521621704,-0.1859791874885559,-0.1860625445842743,-0.1861307124296824,0.00015902995879846652,4
3.767232577006022,0.22639245362813212,0.6174660523732504,0.005281657393737311,1.0,1.0,600,5,5,0.03,0.8,"{'model__subsample': 1.0, 'model__reg_lambda': 1.0, 'model__n_estimators': 600, 'model__min_child_weight': 5, 'model__max_depth': 5, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.8}",0.1222345150039805,0.12008293173401291,0.12164066987430021,0.12131937220409787,0.000907285984519836,7,0.7675443937966115,0.764238603323944,0.7687021725868087,0.7668283899024547,0.0018912709700857184,6,-0.1866253763437271,-0.1861453354358673,-0.18616284430027008,-0.18631118535995483,0.00022228153438978008,5
2.054873069127401,0.06698350086900359,0.5055797100067139,0.03251351948932744,1.0,1.0,200,5,5,0.03,1.0,"{'model__subsample': 1.0, 'model__reg_lambda': 1.0, 'model__n_estimators': 200, 'model__min_child_weight': 5, 'model__max_depth': 5, 'model__learning_rate': 0.03, 'model__colsample_bytree': 1.0}",0.11904006062800793,0.12043830946835161,0.11756933521754194,0.11901590177130049,0.001171378404763747,8,0.7622156309242035,0.7584056383522084,0.7628561840760925,0.7611591511175014,0.001964510370986883,9,-0.19505178928375244,-0.19459600746631622,-0.1941716969013214,-0.1946064978837967,0.00035937277493569043,9
2.8611161708831787,0.03844436609259985,0.4936215877532959,0.01343624490189273,0.8,1.0,400,5,3,0.1,1.0,"{'model__subsample': 0.8, 'model__reg_lambda': 1.0, 'model__n_estimators': 400, 'model__min_child_weight': 5, 'model__max_depth': 3, 'model__learning_rate': 0.1, 'model__colsample_bytree': 1.0}",0.11819252686935684,0.11780236269438454,0.11711855819434878,0.11770448258603006,0.0004438750315372225,9,0.7661814969897812,0.7639903932734564,0.7659106123582033,0.7653608342071468,0.0009753378510230185,8,-0.1914248913526535,-0.1911567598581314,-0.1917106807231903,-0.19143077731132507,0.00022617554328295872,8
3.076955954233805,0.06047865412771816,0.5493163267771403,0.02132176605216279,1.0,1.0,600,1,3,0.03,0.8,"{'model__subsample': 1.0, 'model__reg_lambda': 1.0, 'model__n_estimators': 600, 'model__min_child_weight': 1, 'model__max_depth': 3, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.8}",0.11472682312450787,0.1172781271191017,0.11320863887043847,0.11507119637134934,0.0016791125337227255,10,0.7628877451694788,0.7582725649139491,0.7610100223139874,0.7607234441324717,0.0018950052749879594,10,-0.19729600846767426,-0.19716933369636536,-0.19686658680438995,-0.19711064298947653,0.0001801558409281575,10
