feature,coefficient,odds_ratio
categorical__reporter_country_CANADA,0.006010130972714959,1.0060282280469661
categorical__occr_country_TW,0.003689817773976631,1.0036966335319693
categorical__reporter_country_AT,0.0029507665354655387,1.0029551243322652
categorical__reporter_country_TW,0.002896915153047661,1.0029011152665612
categorical__rpsr_cod_FGN|HP|OTH|SDY,0.00281740238864635,1.0028213749966919
bool__has_ps_drug,0.002539187452690954,1.002542413919441
categorical__rpsr_cod_CSM|HP,0.0025265252176709125,1.0025297195721479
categorical__rpsr_cod_FGN|HP|LIT,0.0025167595446869925,1.0025199292425546
categorical__occr_country_AT,0.0016643006923000962,1.0016656864093405
bool__indi_soc_pregnancy_puerperium_and_perinatal_conditions,0.0,1.0
categorical__reporter_country_SWITZERLAND,-9.247250854405954e-05,0.9999075317669066
categorical__rpsr_cod_FGN|HP|SDY,-0.00024131676869409491,0.9997587123458553
categorical__reporter_country_HUNGARY,-0.0003255789609691326,0.9996744740341093
bool__indi_soc_product_issues,-0.00039433752026395077,0.9996057402205569
categorical__reporter_country_UGANDA,-0.0005023849197922761,0.9994977412543813
categorical__reporter_country_VE,-0.0005072023050423927,0.9994929263003028
categorical__reporter_country_CHILE,-0.0005087973269421093,0.9994913320884682
categorical__reporter_country_NG,-0.0005195098575744121,0.9994806250643062
categorical__reporter_country_SV,-0.0005272179173915069,0.9994729210375538
categorical__occr_country_SV,-0.0005272179173915069,0.9994729210375538
categorical__rpsr_cod_CR|FGN|HP|LIT,-0.0005327786443360192,0.9994673632570041
categorical__reporter_country_MA,-0.0005694207791013216,0.9994307413101434
categorical__reporter_country_RS,-0.0005874910546851469,0.9994126814843944
categorical__reporter_country_TUNISIA,-0.0006016827307508568,0.9993984982440051
categorical__rpsr_cod_CSM|FGN|HP|OTH,-0.0006123824098767332,0.999387805057962
categorical__rpsr_cod_CR|FGN|SDY,-0.0006452120310117195,0.9993549960735112
categorical__occr_country_AM,-0.0006462770227615629,0.9993539317692519
categorical__reporter_country_AM,-0.0006462770227615629,0.9993539317692519
categorical__reporter_country_LITHUANIA,-0.0006585547818602989,0.999341662017746
categorical__reporter_country_KZ,-0.0007514076265137172,0.9992488746095011
categorical__occr_country_KZ,-0.0007514076265137172,0.9992488746095011
categorical__rpsr_cod_CR|FGN|HP|LIT|OTH,-0.0007683818211418693,0.9992319133085741
categorical__reporter_country_SLOVAKIA (SLOVAK REPUBLIC),-0.0007857271675223031,0.9992145814352374
categorical__reporter_country_THAILAND,-0.0007984976056793538,0.9992018211086973
categorical__rpsr_cod_FGN|HP|LIT|SDY,-0.0008066485278132994,0.9991936767256494
categorical__rpsr_cod_CR,-0.0008223976253763878,0.9991779404508667
categorical__rpsr_cod_CR|CSM|HP,-0.000836706063020915,0.999163643877891
categorical__reporter_country_HN,-0.0008370069028716684,0.9991633432896947
