feature,odds_ratio
categorical__reporter_country_MT,1.0278660137455793
categorical__occr_country_PK,1.0275556450912071
categorical__occr_country_unknown,1.0275315336668516
categorical__reporter_country_PR,1.0272281833490653
bool__is_antipsychotic,1.0256179478544114
categorical__reporter_country_COLOMBIA,1.0249760576232685
categorical__occr_country_FI,1.0242874918198555
categorical__rpsr_cod_CR|FGN|HP|OTH,1.0239890169906916
categorical__rpsr_cod_FGN|OTH,1.0233270070676441
categorical__reporter_country_FI,1.0228846841258399
categorical__occr_country_PR,1.0219719721661547
categorical__rpsr_cod_HP|OTH|SDY,1.021943576740121
categorical__rpsr_cod_HP|LIT,1.021010599602275
categorical__drug_n_bucket_5-9,1.0206465207853597
categorical__occr_country_CZ,1.0194163759589294
categorical__reporter_country_CZ,1.0191441105534758
numeric__ps_drug_n,1.0186353166717388
categorical__reporter_country_CHINA,1.0184411544113736
categorical__rpsr_cod_HP|UF,1.0180185565850441
categorical__occr_country_BR,1.0169828943501278
categorical__rpsr_cod_FGN|HP,1.0169039678950915
bool__indi_anxiety,1.0168463265405485
categorical__cns_coprescription_bucket_2,1.0155803674035955
categorical__age_group_75-84,1.0154238338572483
categorical__drug_n_bucket_0-1,1.0145695129414218
categorical__reporter_country_GB,1.0114476417584106
categorical__drug_n_bucket_20+,1.0113414509230683
categorical__reporter_country_DENMARK,1.0084871912650506
bool__pheno_visual_disturbance,1.008318363782797
categorical__reporter_country_AUSTRALIA,1.0072054598124704
categorical__reporter_country_CANADA,1.0060282280469661
categorical__occr_country_TW,1.0036966335319693
categorical__reporter_country_AT,1.0029551243322652
categorical__reporter_country_TW,1.0029011152665612
categorical__rpsr_cod_FGN|HP|OTH|SDY,1.0028213749966919
bool__has_ps_drug,1.002542413919441
categorical__rpsr_cod_CSM|HP,1.0025297195721479
categorical__rpsr_cod_FGN|HP|LIT,1.0025199292425546
categorical__occr_country_AT,1.0016656864093405
bool__indi_soc_pregnancy_puerperium_and_perinatal_conditions,1.0
categorical__reporter_country_SWITZERLAND,0.9999075317669066
categorical__rpsr_cod_FGN|HP|SDY,0.9997587123458553
categorical__reporter_country_HUNGARY,0.9996744740341093
bool__indi_soc_product_issues,0.9996057402205569
categorical__reporter_country_UGANDA,0.9994977412543813
categorical__reporter_country_VE,0.9994929263003028
categorical__reporter_country_CHILE,0.9994913320884682
categorical__reporter_country_NG,0.9994806250643062
categorical__reporter_country_SV,0.9994729210375538
categorical__occr_country_SV,0.9994729210375538
categorical__rpsr_cod_CR|FGN|HP|LIT,0.9994673632570041
categorical__reporter_country_MA,0.9994307413101434
categorical__reporter_country_RS,0.9994126814843944
categorical__reporter_country_TUNISIA,0.9993984982440051
categorical__rpsr_cod_CSM|FGN|HP|OTH,0.999387805057962
categorical__rpsr_cod_CR|FGN|SDY,0.9993549960735112
categorical__occr_country_AM,0.9993539317692519
categorical__reporter_country_AM,0.9993539317692519
categorical__reporter_country_LITHUANIA,0.999341662017746
categorical__reporter_country_KZ,0.9992488746095011
categorical__occr_country_KZ,0.9992488746095011
categorical__rpsr_cod_CR|FGN|HP|LIT|OTH,0.9992319133085741
categorical__reporter_country_SLOVAKIA (SLOVAK REPUBLIC),0.9992145814352374
categorical__reporter_country_THAILAND,0.9992018211086973
categorical__rpsr_cod_FGN|HP|LIT|SDY,0.9991936767256494
categorical__rpsr_cod_CR,0.9991779404508667
categorical__rpsr_cod_CR|CSM|HP,0.999163643877891
categorical__reporter_country_HN,0.9991633432896947
categorical__occr_country_ID,0.999160703002781
categorical__reporter_country_ID,0.999160703002781
