n_rows,positive_cases,positive_rate,threshold,roc_auc,average_precision,brier_score,accuracy,precision,recall,f1,specificity,tn,fp,fn,tp,top_5pct_n,top_5pct_positive_cases,top_5pct_positive_rate,top_5pct_lift,top_10pct_n,top_10pct_positive_cases,top_10pct_positive_rate,top_10pct_lift,fold,train_rows,valid_rows,train_positive_rate,valid_positive_rate
6667,215,0.03224838758062097,0.5,0.7799333900431089,0.13601286430115322,0.029732821268642674,0.9670016499175041,0.0,0.0,0.0,0.9992250464972101,6447,5,215,0,334,58,0.17365269461077845,5.384848906837488,667,90,0.13493253373313344,4.184163732087445,1,13333,6667,0.03232580814520363,0.03224838758062097
6667,216,0.03239838008099595,0.5,0.7942545514046058,0.12420232853593201,0.03007637569106116,0.9668516574171292,0.0,0.0,0.0,0.999224926368005,6446,5,216,0,334,53,0.15868263473053892,4.897857063650477,667,87,0.13043478260869565,4.025966183574879,2,13333,6667,0.03225080627015675,0.03239838008099595
6666,215,0.032253225322532254,0.5,0.7734052409397497,0.14121724862784213,0.029538261739262963,0.9675967596759676,0.4,0.009302325581395349,0.01818181818181818,0.999534955820803,6448,3,213,2,334,60,0.17964071856287425,5.569697813674975,667,85,0.12743628185907047,3.951117464523552,3,13334,6666,0.03232338383080846,0.032253225322532254
