feature,importance
bool__indi_soc_ear_and_labyrinth_disorders,0.001706986
categorical__occr_country_PT,0.0016996956
categorical__occr_country_CL,0.001699451
categorical__occr_country_PR,0.0016932059
categorical__occr_country_SG,0.0016878595
categorical__occr_country_NO,0.0016750552
categorical__reporter_country_SK,0.0016615458
categorical__rpsr_cod_HP|LIT,0.0016492112
categorical__cns_coprescription_bucket_2,0.0016428969
categorical__reporter_country_CY,0.0016315309
bool__is_zolpidem,0.0016107843
bool__indi_soc_congenital_familial_and_genetic_disorders,0.0015964644
categorical__reporter_country_DK,0.0015842142
categorical__occr_country_RU,0.0015823533
categorical__occr_country_BE,0.0015808209
bool__indi_soc_product_issues,0.001576472
categorical__reporter_country_IE,0.0015738662
categorical__reporter_country_CHINA,0.0015706203
bool__indi_soc_reproductive_system_and_breast_disorders,0.0015607614
bool__indi_epilepsy,0.0015594839
categorical__occr_country_DK,0.0015593349
numeric__zdrug_count,0.0015443966
bool__indi_soc_endocrine_disorders,0.0015421552
categorical__rpsr_cod_HP|SDY,0.0015388629
categorical__occr_country_PA,0.0015353293
categorical__reporter_country_PORTUGAL,0.0015281952
bool__is_antiepileptic,0.0015266938
categorical__rpsr_cod_CR|HP,0.0014934674
categorical__reporter_country_GR,0.0014859393
bool__is_opioid,0.0014813901
numeric__distinct_indi_n,0.0014709722
categorical__reporter_country_INDIA,0.0014605472
categorical__occr_country_BD,0.00146015
categorical__occr_country_VE,0.0014552486
bool__is_zopiclone,0.0014520413
categorical__occr_country_PE,0.0014509616
categorical__occr_country_RO,0.0014331517
categorical__reporter_country_BE,0.001428758
categorical__occr_country_A1,0.0014162797
bool__is_other_zdrug,0.001405429
categorical__reporter_country_ARGENTINA,0.0014008554
categorical__occr_country_CH,0.0013893531
categorical__occr_country_FI,0.0013874164
categorical__rpsr_cod_OTH,0.0013783283
categorical__reporter_country_VENEZUELA,0.0013777782
bool__zolpidem_as_ps,0.0013743141
categorical__reporter_country_CZ,0.0013727745
categorical__rpsr_cod_FGN|HP|LIT,0.0013646411
bool__has_ps_drug,0.0013606256
categorical__reporter_country_SINGAPORE,0.001358181
categorical__occr_country_SK,0.0013536273
categorical__reporter_country_CL,0.0013429095
categorical__reporter_country_TURKEY,0.0013360551
bool__indi_soc_injury_poisoning_and_procedural_complications,0.0013357538
categorical__rpsr_cod_CR|FGN|HP|OTH,0.0013129254
categorical__reporter_country_RO,0.0013052414
categorical__reporter_country_CH,0.0013012773
categorical__distinct_drug_n_bucket_3-4,0.0012903996
numeric__indi_unmapped_n,0.001272641
categorical__cns_coprescription_bucket_1,0.0012636506
categorical__reporter_country_A1,0.0012387029
categorical__reporter_country_NETHERLANDS,0.0012329317
categorical__reporter_country_COLOMBIA,0.0012314827
categorical__quarter_Q4,0.0012254012
bool__indi_soc_hepatobiliary_disorders,0.0012228201
categorical__rpsr_cod_HP|OTH,0.0012222981
categorical__rpsr_cod_FGN|HP|OTH|SDY,0.0012179079
categorical__reporter_country_POLAND,0.0012147102
bool__indi_depression,0.0012146585
categorical__reporter_country_TH,0.001211186
categorical__occr_country_AT,0.0012106195
categorical__occr_country_GR,0.0012082588
categorical__rpsr_cod_FGN|HP|LIT|OTH,0.0011930055
categorical__reporter_country_LB,0.0011922937
categorical__rpsr_cod_CR|HP|SDY,0.0011914828
categorical__occr_country_NZ,0.001190331
categorical__reporter_country_DENMARK,0.0011784796
categorical__reporter_country_PERU,0.0011762389
categorical__reporter_country_BELGIUM,0.0011736869
categorical__reporter_country_ECUADOR,0.0011721553
categorical__occr_country_CY,0.0011603836
bool__indi_dizziness_vertigo,0.0011585661
categorical__occr_country_CR,0.0011523318
categorical__reporter_country_SI,0.0011425037
categorical__distinct_drug_n_bucket_5-9,0.0011391881
categorical__reporter_country_AUSTRALIA,0.0011360687
categorical__drug_n_bucket_10-19,0.0011340566
categorical__rpsr_cod_CSM|FGN|HP,0.0011271711
categorical__reporter_country_HR,0.0011193416
categorical__distinct_drug_n_bucket_10-19,0.0011172515
numeric__ps_drug_n,0.0010944813
categorical__reporter_country_HU,0.0010927815
categorical__reporter_country_FINLAND,0.0010888057
categorical__reporter_country_unknown,0.0010800025
categorical__reporter_country_MX,0.0010723171
categorical__reporter_country_ID,0.0010617053
categorical__reporter_country_SWEDEN,0.0010558058
categorical__reporter_country_PHILIPPINES,0.0010427227
categorical__reporter_country_EG,0.0010331509
categorical__drug_n_bucket_5-9,0.0010328639
categorical__reporter_country_IRELAND,0.0010285678
categorical__reporter_country_HK,0.001024925
categorical__distinct_drug_n_bucket_2,0.0010197739
categorical__quarter_Q3,0.001011666
categorical__reporter_country_AUSTRIA,0.001005914
categorical__age_group_75-84,0.0010054662
categorical__quarter_Q1,0.0010035001
categorical__rpsr_cod_CSM|FGN,0.0010022887
categorical__occr_country_LU,0.00097606523
categorical__occr_country_EE,0.0009729037
categorical__reporter_country_SA,0.0009583196
categorical__rpsr_cod_DT|FGN|HP,0.00095266476
categorical__occr_country_GT,0.00094649
categorical__occr_country_ZA,0.00094598066
categorical__reporter_country_AE,0.00094479683
categorical__reporter_country_RUSSIAN FEDERATION,0.0009399612
categorical__reporter_country_PE,0.00093551754
categorical__occr_country_EC,0.0009292215
categorical__occr_country_EG,0.0009279419
categorical__occr_country_SA,0.0009210317
categorical__distinct_drug_n_bucket_20+,0.0009029634
categorical__reporter_country_HUNGARY,0.0008988212
categorical__reporter_country_NORWAY,0.00089446886
categorical__drug_n_bucket_3-4,0.00089351856
categorical__occr_country_UM,0.0008928287
categorical__drug_n_bucket_2,0.0008900975
categorical__rpsr_cod_FGN|HP|OTH,0.0008802884
categorical__occr_country_UA,0.0008689281
categorical__occr_country_PK,0.0008675928
categorical__occr_country_LB,0.0008662344
bool__is_zaleplon,0.0008608159
categorical__reporter_country_CZECH REPUBLIC,0.0008525368
categorical__reporter_country_EE,0.0008458991
categorical__rpsr_cod_FGN|HP,0.00084563374
categorical__occr_country_HK,0.0008359589
categorical__rpsr_cod_CR,0.00083511975
categorical__reporter_country_RS,0.0008235441
categorical__reporter_country_CR,0.0008226714
categorical__rpsr_cod_CSM|HP|SDY,0.00082249637
categorical__occr_country_LT,0.0008173878
categorical__occr_country_MT,0.00081303634
categorical__reporter_country_ZA,0.00081144605
categorical__rpsr_cod_CR|CSM|HP,0.0008104859
categorical__rpsr_cod_FGN|OTH,0.00080745475
categorical__reporter_country_HN,0.00080614496
categorical__reporter_country_COSTA RICA,0.00079957984
categorical__reporter_country_IR,0.0007993091
categorical__reporter_country_MY,0.0007927896
categorical__rpsr_cod_CR|CSM|HP|OTH,0.0007887084
categorical__occr_country_TN,0.00078381633
categorical__rpsr_cod_LIT,0.0007819891
categorical__occr_country_IR,0.0007750051
categorical__quarter_Q2,0.0007700314
categorical__reporter_country_NEW ZEALAND,0.0007620117
categorical__reporter_country_THAILAND,0.0007602446
categorical__occr_country_AE,0.0007501428
categorical__reporter_country_SLOVENIA,0.0007374854
categorical__rpsr_cod_CSM|OTH|SDY,0.0007316686
categorical__reporter_country_UA,0.00073163514
categorical__rpsr_cod_FGN,0.0007283897
categorical__occr_country_QA,0.0007258871
categorical__rpsr_cod_CSM|DT|HP,0.0007118064
categorical__reporter_country_SOUTH AFRICA,0.0007014121
categorical__rpsr_cod_DT|HP,0.0006969621
categorical__reporter_country_LV,0.0006944514
categorical__reporter_country_VN,0.0006937795
categorical__occr_country_VN,0.0006841581
categorical__rpsr_cod_OTH|SDY,0.00067973573
categorical__reporter_country_NZ,0.00067681755
bool__any_cns_coprescription,0.00067028025
categorical__reporter_country_PA,0.0006621746
categorical__rpsr_cod_HP|LIT|OTH,0.00065943226
categorical__occr_country_HN,0.00065379264
categorical__reporter_country_UY,0.0006533251
categorical__reporter_country_GUATEMALA,0.00064711645
categorical__rpsr_cod_CR|CSM|OTH,0.0006402328
categorical__rpsr_cod_SDY,0.00063603197
categorical__reporter_country_EGYPT,0.0006270916
