mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__scale_pos_weight,param_model__reg_lambda,param_model__reg_alpha,param_model__n_estimators,param_model__min_child_weight,param_model__max_depth,param_model__learning_rate,param_model__gamma,param_model__colsample_bytree,params,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_neg_brier_score,split1_test_neg_brier_score,split2_test_neg_brier_score,mean_test_neg_brier_score,std_test_neg_brier_score,rank_test_neg_brier_score
160.65811038017273,0.24671530220272614,21.10620371500651,0.07447301429931268,0.7,5.0,1.0,1.0,600,3,6,0.08,0.0,0.9,"{'model__subsample': 0.7, 'model__scale_pos_weight': 5.0, 'model__reg_lambda': 1.0, 'model__reg_alpha': 1.0, 'model__n_estimators': 600, 'model__min_child_weight': 3, 'model__max_depth': 6, 'model__learning_rate': 0.08, 'model__gamma': 0.0, 'model__colsample_bytree': 0.9}",0.15213891238788735,0.15158457827063382,0.15172539990944037,0.1518162968559872,0.00023525627098473258,1,0.7869980163478039,0.7888290471554896,0.7869287854894795,0.787585282997591,0.0008799280986880034,5,-0.04353820160031319,-0.04341098666191101,-0.043580908328294754,-0.04351003219683965,7.21733082965265e-05,5
271.0016649564107,1.6606487907690641,33.27870965003967,0.0529586773034749,1.0,5.0,1.0,0.5,1200,3,6,0.05,0.5,0.7,"{'model__subsample': 1.0, 'model__scale_pos_weight': 5.0, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.5, 'model__n_estimators': 1200, 'model__min_child_weight': 3, 'model__max_depth': 6, 'model__learning_rate': 0.05, 'model__gamma': 0.5, 'model__colsample_bytree': 0.7}",0.15017499909265117,0.14797229418235702,0.1490744050123833,0.14907389942913052,0.0008992505850871247,2,0.7852597554168099,0.7860769163920002,0.7842812637374392,0.7852059785154163,0.0007340577090395336,6,-0.043424107134342194,-0.04344085231423378,-0.04355716332793236,-0.04347404092550278,5.91726321968147e-05,3
224.6125326951345,0.2880764860678964,27.89192255338033,0.0463956815249955,0.8,40.0,5.0,1.0,900,20,6,0.08,0.5,1.0,"{'model__subsample': 0.8, 'model__scale_pos_weight': 40.0, 'model__reg_lambda': 5.0, 'model__reg_alpha': 1.0, 'model__n_estimators': 900, 'model__min_child_weight': 20, 'model__max_depth': 6, 'model__learning_rate': 0.08, 'model__gamma': 0.5, 'model__colsample_bytree': 1.0}",0.1454880551251466,0.1450410414945837,0.1456759523508577,0.14540168299019599,0.00026629940308556607,3,0.7886701096860309,0.7892833039300458,0.7887054547085455,0.7888862894415407,0.00028110223017771725,1,-0.22324194014072418,-0.22311395406723022,-0.22374793887138367,-0.22336794435977936,0.0002737297698937746,43
302.6393504142761,0.5800655728825018,35.98569846153259,0.0024998402560490866,0.7,30.0,10.0,0.1,1200,20,6,0.05,0.0,0.8,"{'model__subsample': 0.7, 'model__scale_pos_weight': 30.0, 'model__reg_lambda': 10.0, 'model__reg_alpha': 0.1, 'model__n_estimators': 1200, 'model__min_child_weight': 20, 'model__max_depth': 6, 'model__learning_rate': 0.05, 'model__gamma': 0.0, 'model__colsample_bytree': 0.8}",0.14524402190463803,0.1444801718279764,0.14543050171546948,0.14505156514936132,0.0004111458992899291,4,0.7882402559323831,0.7894784642416861,0.7884832623970481,0.7887339941903724,0.0005356863376046744,2,-0.18285615742206573,-0.18272314965724945,-0.1831374615430832,-0.18290558954079947,0.00017271602021363717,28
210.0807093779246,0.9690341047473965,26.67918308575948,0.09689282256201526,1.0,5.0,10.0,0.0,900,10,6,0.05,2.0,0.8,"{'model__subsample': 1.0, 'model__scale_pos_weight': 5.0, 'model__reg_lambda': 10.0, 'model__reg_alpha': 0.0, 'model__n_estimators': 900, 'model__min_child_weight': 10, 'model__max_depth': 6, 'model__learning_rate': 0.05, 'model__gamma': 2.0, 'model__colsample_bytree': 0.8}",0.14519142560926468,0.1436398953248034,0.1446746309848439,0.14450198397297065,0.0006450668176923984,5,0.782488464580314,0.7837141177552381,0.7823790578718254,0.7828605467357925,0.0006052162538540451,9,-0.04366301745176315,-0.04364757612347603,-0.04376719146966934,-0.043692595014969506,5.3123014128567666e-05,7
299.60675597190857,0.6361371862178378,35.553515911102295,0.057353710149416856,0.7,40.0,5.0,0.1,1200,20,6,0.05,0.0,1.0,"{'model__subsample': 0.7, 'model__scale_pos_weight': 40.0, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.1, 'model__n_estimators': 1200, 'model__min_child_weight': 20, 'model__max_depth': 6, 'model__learning_rate': 0.05, 'model__gamma': 0.0, 'model__colsample_bytree': 1.0}",0.14447535834574118,0.14356066929577127,0.14442461633896003,0.14415354799349084,0.00041974003896878386,6,0.7880828867899601,0.7893002327883732,0.7882381736382154,0.788540431072183,0.0005409882853042307,3,-0.22520102560520172,-0.22516068816184998,-0.22540421783924103,-0.2252553105354309,0.00010657334307113973,44
272.540297349294,0.9210639009374015,33.06971740722656,0.1788989456468048,0.7,30.0,10.0,0.1,1200,1,5,0.08,0.0,1.0,"{'model__subsample': 0.7, 'model__scale_pos_weight': 30.0, 'model__reg_lambda': 10.0, 'model__reg_alpha': 0.1, 'model__n_estimators': 1200, 'model__min_child_weight': 1, 'model__max_depth': 5, 'model__learning_rate': 0.08, 'model__gamma': 0.0, 'model__colsample_bytree': 1.0}",0.14341381448966253,0.14329911150860206,0.14332980652605506,0.14334757750810656,4.8484013298857883e-05,7,0.7875426014529499,0.7882220359785886,0.7873930948732273,0.7877192441015887,0.0003607287143436275,4,-0.1833535134792328,-0.1832575649023056,-0.18366692960262299,-0.18342600266138712,0.00017480632256593526,29
153.36179884274802,0.6005707127717176,20.7582053343455,0.2077687982133334,1.0,10.0,1.0,0.1,600,5,6,0.05,1.0,0.7,"{'model__subsample': 1.0, 'model__scale_pos_weight': 10.0, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.1, 'model__n_estimators': 600, 'model__min_child_weight': 5, 'model__max_depth': 6, 'model__learning_rate': 0.05, 'model__gamma': 1.0, 'model__colsample_bytree': 0.7}",0.1415906295049328,0.13963615204115232,0.1409141944241841,0.14071365865675642,0.0008104140853579397,8,0.7814750676028156,0.7823935243931971,0.7813366978024325,0.7817350965994817,0.00046899319118523183,12,-0.0739365965127945,-0.0739825889468193,-0.07416325062513351,-0.07402747869491577,9.782412372269729e-05,13
203.33313552538553,1.1193979701026482,25.546868562698364,0.2990813385334587,0.9,5.0,10.0,0.1,900,5,5,0.05,1.0,1.0,"{'model__subsample': 0.9, 'model__scale_pos_weight': 5.0, 'model__reg_lambda': 10.0, 'model__reg_alpha': 0.1, 'model__n_estimators': 900, 'model__min_child_weight': 5, 'model__max_depth': 5, 'model__learning_rate': 0.05, 'model__gamma': 1.0, 'model__colsample_bytree': 1.0}",0.14137941876048402,0.13978924719354827,0.14068191583827666,0.1406168605974363,0.0006508125901995243,9,0.7803331856337123,0.7818615177467746,0.7803428470267892,0.7808458501357588,0.0007181962859270219,14,-0.043906815350055695,-0.04381638392806053,-0.04398997873067856,-0.04390439266959826,7.089048318567185e-05,9
268.08068052927655,1.410922989662308,32.686371644337974,0.13441545471583455,1.0,40.0,10.0,1.0,1200,1,6,0.05,2.0,0.9,"{'model__subsample': 1.0, 'model__scale_pos_weight': 40.0, 'model__reg_lambda': 10.0, 'model__reg_alpha': 1.0, 'model__n_estimators': 1200, 'model__min_child_weight': 1, 'model__max_depth': 6, 'model__learning_rate': 0.05, 'model__gamma': 2.0, 'model__colsample_bytree': 0.9}",0.14025900042162842,0.14044273830367546,0.14083686482237887,0.1405128678492276,0.00024106766862325615,10,0.783722594114151,0.7852693709585523,0.7839016968274439,0.784297887300049,0.0006908230933851464,8,-0.22902502119541168,-0.22922541201114655,-0.22933492064476013,-0.22919511795043945,0.00012831657404563095,45
