feature,odds_ratio
categorical__rpsr_cod_CR|DT|HP,1.0160449773692253
categorical__occr_country_LU,1.0157201058218017
categorical__rpsr_cod_DT|FGN|LIT,1.0157121723429268
categorical__occr_country_PY,1.0155430773887435
categorical__cns_coprescription_bucket_3+,1.0152967025061808
categorical__rpsr_cod_CR|CSM|OTH,1.015211198344832
categorical__reporter_country_SAUDI ARABIA,1.0151477587496038
categorical__reporter_country_AF,1.014579593047675
categorical__occr_country_A1,1.0145528011670069
categorical__reporter_country_LU,1.0143297683884949
categorical__reporter_country_A1,1.01421244775936
categorical__reporter_country_RUSSIAN FEDERATION,1.0131754836279112
categorical__reporter_country_JM,1.0125304460064366
categorical__occr_country_JM,1.0125304460064366
"categorical__reporter_country_TAIWAN, PROVINCE OF CHINA",1.012035038147268
categorical__rpsr_cod_CSM|FGN|HP,1.0118607999910771
categorical__quarter_Q3,1.011645926843292
categorical__occr_country_BY,1.0114473388843352
categorical__reporter_country_PAKISTAN,1.0109250230952165
categorical__reporter_country_BY,1.0108869480036766
categorical__rept_cod_5DAY,1.010402248237747
categorical__occr_country_NP,1.009563142904595
categorical__reporter_country_NP,1.0089622851247728
categorical__reporter_country_EE,1.0088644495346037
categorical__reporter_country_HN,1.0079244065108202
categorical__occr_country_EE,1.0078206942984413
numeric__concomitant_drug_n,1.0077279884247923
categorical__reporter_country_SLOVENIA,1.0070612968009918
categorical__occr_country_HN,1.0064752553697722
categorical__rpsr_cod_CSM|HP|OTH,1.0061886688165973
categorical__reporter_country_UY,1.0058920960248756
numeric__drug_n,1.00563364233082
categorical__rpsr_cod_CSM|HP|UF,1.0050631693961043
categorical__rpsr_cod_HP|LIT|OTH,1.0043660250987312
categorical__reporter_country_MT,1.0040098537013435
categorical__occr_country_MT,1.0038240928768423
categorical__reporter_country_HK,1.0031791187847894
numeric__ps_drug_n,1.0031054564145265
categorical__rpsr_cod_CSM|HP|SDY,1.002829483611472
categorical__rpsr_cod_FGN|OTH|SDY,1.002659536897473
numeric__zdrug_count,1.0024858975096884
categorical__occr_country_MY,1.0012462934044437
