feature,coefficient,odds_ratio
bool__indi_soc_nervous_system_disorders,0.8670809793621284,2.379953570648294
bool__event_date_known,0.6858215484521395,1.9854022698667393
categorical__rept_cod_EXP,0.6324616343588094,1.882238263475109
bool__indi_soc_musculoskeletal_and_connective_tissue_disorders,0.5910475073197562,1.80587909654603
categorical__reporter_country_FRANCE,0.535970636537753,1.7091063584883852
bool__zolpidem_as_suspect,0.5311176904822457,1.7008322506656557
numeric__log_drug_n,0.5055300407010682,1.6578640230282666
categorical__occr_country_CA,0.4993027876734747,1.6475721625399273
categorical__reporter_country_AR,0.45285193332630563,1.5727912912976727
categorical__reporter_country_UNITED STATES,0.3964881149399249,1.4865947696016508
bool__indi_insomnia,0.3782196297913863,1.4596834976548985
categorical__occr_country_AR,0.37499946191392053,1.454990631707786
bool__indi_soc_general_disorders_and_administration_site_conditions,0.37480261613744603,1.4547042511344523
categorical__reporter_country_COUNTRY NOT SPECIFIED,0.3641864846637861,1.439342604453596
categorical__occr_country_BR,0.361328336851654,1.4352346239420346
categorical__occr_country_DE,0.3522570366858825,1.422274053348392
categorical__occr_country_AU,0.3283234300217387,1.3886380268938532
categorical__reporter_country_CA,0.31290442705617755,1.3673908392145444
categorical__reporter_country_AU,0.2986650134523576,1.3480579665434023
bool__indi_soc_psychiatric_disorders,0.2925183241991178,1.3397972870512227
bool__zolpidem_as_ps,0.270818231221768,1.3110367431779968
bool__indi_soc_renal_and_urinary_disorders,0.267527949939631,1.306730152354557
numeric__age_years,0.267431163859931,1.3066036851861142
categorical__occr_country_IL,0.26212306720594397,1.2996864813714262
categorical__reporter_country_US,0.2581270639201306,1.2945032928376572
bool__has_ss_drug,0.2537153511165789,1.2888048951757907
categorical__reporter_country_IL,0.25231552834695636,1.287002058857975
bool__indi_soc_cardiac_disorders,0.24538482940820855,1.2781130740747153
categorical__reporter_country_CANADA,0.24135431817588937,1.272971992526692
categorical__rpsr_cod_FGN|HP|SDY,0.2411348698810856,1.2726926716429658
bool__is_antidepressant,0.2325274851866429,1.2617851262820912
bool__indi_soc_vascular_disorders,0.23062217023607362,1.2593833170446964
categorical__reporter_country_MEXICO,0.19359307033395992,1.2136023316698015
categorical__rpsr_cod_CSM|HP,0.18538235531829675,1.2036785850611762
categorical__reporter_country_BR,0.183918098199532,1.2019173798675926
categorical__occr_country_GB,0.1755399593957465,1.1918896148885054
categorical__occr_country_IE,0.17344299761761167,1.189392886609109
categorical__reporter_country_BRAZIL,0.16845878760115315,1.1834794518126024
categorical__rept_cod_DIR,0.16450708966954647,1.178811926909001
categorical__reporter_country_DE,0.1571491517977326,1.1701701338647257
categorical__sex_clean_F,0.14753475583588516,1.1589735652247857
