mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__class_weight,param_model__l1_ratio,param_model__penalty,params,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_neg_brier_score,split1_test_neg_brier_score,split2_test_neg_brier_score,mean_test_neg_brier_score,std_test_neg_brier_score,rank_test_neg_brier_score
383.89266594250995,38.02520503960993,0.582050641377767,0.016763875913923035,0.3,,0.0,elasticnet,"{'model__C': 0.3, 'model__class_weight': None, 'model__l1_ratio': 0.0, 'model__penalty': 'elasticnet'}",0.10417685945119493,0.10293599719809393,0.10112878032045988,0.10274721232324957,0.001251512789529302,1,0.7506276355742852,0.7476222686144944,0.7505541372809463,0.7496013471565753,0.0013997415015101272,8,-0.030181843527830075,-0.03019625557306022,-0.03022016467497735,-0.030199421258622548,1.580387618023747e-05,2
511.89694746335346,54.81046581977954,0.7516968250274658,0.020940258649587495,1.0,,0.0,elasticnet,"{'model__C': 1.0, 'model__class_weight': None, 'model__l1_ratio': 0.0, 'model__penalty': 'elasticnet'}",0.10419400769367385,0.10290058734187861,0.10113257536817682,0.10274239013457642,0.0012548205019572009,2,0.7506683375040566,0.747683386954908,0.7506522626937226,0.7496679957175624,0.0014033456584142882,7,-0.03018222575423377,-0.030197024580814545,-0.03022022414317468,-0.030199824826074334,1.5638636357057403e-05,4
422.15330990155536,49.53014635012895,0.6028634707132975,0.10729507241877435,3.0,,0.0,elasticnet,"{'model__C': 3.0, 'model__class_weight': None, 'model__l1_ratio': 0.0, 'model__penalty': 'elasticnet'}",0.1041951557316268,0.10288886571865816,0.10113553473241182,0.10273985206089893,0.0012535214311047624,3,0.7506796402981122,0.7477001597762808,0.7506799685232991,0.7496865895325641,0.0014046179574101379,6,-0.030182352601662986,-0.03019728246576788,-0.030220261290406995,-0.03019996545261262,1.5592006165111884e-05,5
347.19976623853046,39.15529037418949,0.5675159295399984,0.0017223842788173334,0.1,,0.0,elasticnet,"{'model__C': 0.1, 'model__class_weight': None, 'model__l1_ratio': 0.0, 'model__penalty': 'elasticnet'}",0.10407159784099584,0.10295064982806412,0.10110895785685312,0.10271040184197104,0.0012213648758736127,4,0.7505004557585501,0.7474358497602815,0.7502797848012656,0.7494053634400325,0.0013955672726867498,9,-0.03018120409426236,-0.030194908166931857,-0.030220379774781824,-0.03019883067865868,1.6232129860784445e-05,1
271.46482094128925,15.22264067969337,0.5633072853088379,0.03230205277388141,0.03,,0.0,elasticnet,"{'model__C': 0.03, 'model__class_weight': None, 'model__l1_ratio': 0.0, 'model__penalty': 'elasticnet'}",0.10385644806716546,0.10283556354936993,0.1009740015781905,0.10255533773157528,0.001193320108540318,5,0.750058168289952,0.7467306374481708,0.7495341417678514,0.7487743158353247,0.0014608483748735932,10,-0.030181325363637816,-0.030195612137769397,-0.03022192756958604,-0.030199621690331083,1.6816503119935707e-05,3
1289.6391882896423,25.65347279869253,0.561873197555542,0.01838920838201823,0.03,balanced,0.0,elasticnet,"{'model__C': 0.03, 'model__class_weight': 'balanced', 'model__l1_ratio': 0.0, 'model__penalty': 'elasticnet'}",0.10129734264448982,0.10080158101809483,0.09805642465669612,0.10005178277309358,0.001425373730419828,6,0.7525104824916187,0.7500370079719028,0.7523189068718914,0.7516221324451376,0.0011235776197054722,1,-0.042427065847465154,-0.19040870175955865,-0.18534634913142034,-0.1393940389128147,0.06859714402521958,7
1456.3912702401478,106.91151823345214,0.6756467819213867,0.10190514213325867,0.3,balanced,0.0,elasticnet,"{'model__C': 0.3, 'model__class_weight': 'balanced', 'model__l1_ratio': 0.0, 'model__penalty': 'elasticnet'}",0.10117111654282157,0.10039619767776108,0.09756259237292583,0.09970996886450283,0.001551030659333722,7,0.7521726253576584,0.7498702116815333,0.7519653337104205,0.7513360569165374,0.0010399580589273013,3,-0.15024615085403095,-0.2664192304809261,-0.17468074433293446,-0.19711537522263048,0.0500102029914357,9
1441.7908205986023,103.7058395324391,0.7571636835734049,0.19625943275642407,3.0,balanced,0.0,elasticnet,"{'model__C': 3.0, 'model__class_weight': 'balanced', 'model__l1_ratio': 0.0, 'model__penalty': 'elasticnet'}",0.10108448280251703,0.10038457398081202,0.09755778050663344,0.0996756124299875,0.0015245495796810016,8,0.7520089560793191,0.7498485327694298,0.751711292842163,0.7511895938969705,0.0009560280893848944,5,-0.21625328200002683,-0.1304497907887562,-0.14183318013709298,-0.16284541764195867,0.0380499265853984,8
1267.5908699830372,8.352389807445073,0.5890692075093588,0.0035513693708423217,0.1,balanced,0.0,elasticnet,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__l1_ratio': 0.0, 'model__penalty': 'elasticnet'}",0.10109961727255962,0.10033937527534256,0.0974193955463752,0.09961946269809246,0.001586340353903099,9,0.7522335892185301,0.7499555150522713,0.7521581482934738,0.7514490841880918,0.0010565618473457185,2,-0.17427835081073734,-0.26790573570476256,-0.26822772323335314,-0.23680393658295099,0.04421246111004588,10
1566.0835955142975,18.223679841923733,0.6789493560791016,0.1110417861789456,1.0,balanced,0.0,elasticnet,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'model__l1_ratio': 0.0, 'model__penalty': 'elasticnet'}",0.10070164179586544,0.10044698256704615,0.0975223949471798,0.09955700643669713,0.0014424390837889,10,0.7519542965298993,0.7498754452047957,0.7518129336569519,0.7512142251305489,0.0009484178518852674,4,-0.032797280635538904,-0.1948971947518721,-0.18718876841588605,-0.138294414601099,0.07466408737518922,6
