section,analysis,comparison,outcome_name,exposure,model,model_label,n_cases,n_outcome,n_exposed,n_exposed_outcome,optimization_success,optimization_message,status,skip_reason,used_covariates,outcome_definition,adjusted_ror,ci_low,ci_high,p_value
sensitivity_adjusted_qc,time_2020_2025,Report years 2020-2025,fall_event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,1866661,54644,2619,351,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,,,,,
sensitivity_adjusted_qc,time_exclude_2025,Report years 2004-2024,fall_event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,3825160,122082,7316,967,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,,,,,
sensitivity_adjusted_qc,age_65_74,Age 65-74,fall_event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,2258097,54258,3838,311,True,converged,fit,,sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,,,,,
sensitivity_adjusted_qc,age_75_84,Age 75-84,fall_event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,1446122,54134,2672,426,True,converged,fit,,sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,,,,,
sensitivity_adjusted_qc,age_85_plus,Age >=85,fall_event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,450454,24064,1288,321,True,converged,fit,,sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,,,,,
sensitivity_adjusted_qc,comedication_exclude_benzo,Excluding benzodiazepine co-reports,fall_event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,4020379,123600,6404,847,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,,,,,
sensitivity_adjusted_qc,comedication_exclude_antidepressant,Excluding antidepressant co-reports,fall_event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,3933471,116182,6006,658,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,,,,,
sensitivity_adjusted_qc,comedication_exclude_opioid,Excluding opioid co-reports,fall_event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,3937217,120753,6364,765,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,,,,,
sensitivity_adjusted_qc,comedication_exclude_any_cns,Excluding any selected CNS high-risk co-report,fall_event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,3589626,99161,4177,448,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,,,,,
sensitivity_adjusted_qc,reporting_rept_cod_EXP,Report type EXP,fall_event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,2470022,104758,6191,927,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,,,,,
sensitivity_adjusted_qc,reporting_rept_cod_PER,Report type PER,fall_event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,1393441,19433,1019,42,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,,,,,
sensitivity_adjusted_qc,reporting_rept_cod_DIR,Report type DIR,fall_event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,282333,8228,588,89,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,,,,,
sensitivity_adjusted_qc,reporting_rept_cod_30DAY,Report type 30DAY,fall_event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,8536,33,0,0,False,skipped,skipped,exposure_has_no_variation,,Fall event,,,,
sensitivity_adjusted_qc,reporting_rept_cod_5DAY,Report type 5DAY,fall_event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,341,4,0,0,False,skipped,skipped,exposure_has_no_variation,,Fall event,,,,
sensitivity_adjusted_qc,country_top_US,Reporter country US,fall_event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,2172713,61029,2455,168,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,,,,,
sensitivity_adjusted_qc,country_top_UNITED_STATES,Reporter country UNITED STATES,fall_event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,302568,10900,729,102,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,,,,,
sensitivity_adjusted_qc,country_top_JP,Reporter country JP,fall_event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,218116,5000,293,34,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,,,,,
sensitivity_adjusted_qc,country_top_FR,Reporter country FR,fall_event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,165265,6314,1214,263,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,,,,,
sensitivity_adjusted_qc,country_top_CA,Reporter country CA,fall_event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,153330,10381,102,73,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,,,,,
