section,analysis_tier,analysis,outcome_name,n_zolpidem_exposed_cases,n_outcome
exploratory,exploratory,primary_ps_ss,strict_fall,8011,1070
exploratory,exploratory,sensitivity_ps_only,strict_fall,4314,474
