analysis_tier,analysis,comparison,outcome_name,a,b,c,d,exposed_n,reporting_rate_exposed,reporting_rate_unexposed,ror,ror_ci_low,ror_ci_high,prr,prr_ci_low,prr_ci_high,ic,ic025,ebgm,eb05,p_value,stability_status,is_stable_signal,conclusion,core_clinical_adjusted_adjusted_reporting_odds_ratio,extended_report_indication_adjusted_adjusted_reporting_odds_ratio,core_clinical_adjusted_ci_high,extended_report_indication_adjusted_ci_high,core_clinical_adjusted_ci_low,extended_report_indication_adjusted_ci_low,core_clinical_adjusted_p_value,extended_report_indication_adjusted_p_value
primary,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,strict_fall,1058,6740,131398,4015477,7798,0.1356758143113619,0.0316860286360211,4.797049047488088,4.494945481428152,5.119456878639384,4.281881325989961,4.047580429879835,4.529745117481424,2.0871683323891057,1.9989094289012197,4.240621105578331,4.030481762266459,0.0,stable,True,signal_detected,3.2847220237144032,2.739337605635523,3.512420642459447,2.9336545439953667,3.0717843536870784,2.557891668945194,5.205816582001161e-265,1.2187935726600476e-182
sensitivity,sensitivity_ps_only,zolpidem_primary_suspect_vs_all_other_primary_suspect_drugs_excluding_mixed_zdrug_cases,strict_fall,474,3840,131991,4017928,4314,0.1098748261474269,0.0318056810265453,3.757551556545522,3.415041845170206,4.134413087812098,3.454566058677516,3.1727382074111743,3.761428102038204,1.7811184368125783,1.648280719722104,3.424523445002409,3.1735741959014896,1.6861403576869547e-186,stable,True,signal_detected,3.1677240626746297,2.5327125374872743,3.4913733813279846,2.7989503481918465,2.874076943735858,2.2917994246268614,2.261710873531339e-119,3.4389728909102162e-74
sensitivity,comparative_ps_ss,zolpidem_only_vs_other_zdrug_only,strict_fall,1058,6740,628,6171,7798,0.1356758143113619,0.0923665244888954,1.5424875730027028,1.38929808683278,1.7125683360666315,1.4688851297817669,1.3381400855090295,1.612404820585907,0.2321119100694473,0.143853006581561,1.1739018178885448,1.1157303965372682,3.945893610897906e-16,stable,True,signal_detected,,,,,,,,
sensitivity,comparative_ps_only,zolpidem_only_vs_other_zdrug_only_primary_suspect_only,strict_fall,474,3840,41,2884,4314,0.1098748261474269,0.014017094017094,8.682774390243903,6.287993914435483,11.98960624608742,7.838630889785949,5.717159795923997,10.74731797248567,0.6262514398263359,0.4934137227358613,1.5410429469982,1.428115242868788,2.45873427477936e-54,stable,True,signal_detected,,,,,,,,
