section,analysis,comparison,outcome_name,outcome_definition,exposure,model,model_label,n_cases,n_outcome,n_exposed,n_exposed_outcome,adjusted_ror,ci_low,ci_high,p_value,optimization_success,optimization_message,status,skip_reason,used_covariates
reporting_country_time,time_2004_2012,Report years 2004-2012,fall_event,Fall event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,613460,22560,1624,251,2.96775303641401,2.5674897398220393,3.4304160786072138,5.059294418249436e-49,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo
reporting_country_time,time_2013_2019,Report years 2013-2019,fall_event,Fall event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,1674552,55252,3555,456,2.5852502887322966,2.329812727510858,2.868693683603921,1.3076032543434885e-71,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo
reporting_country_time,time_2020_2025,Report years 2020-2025,fall_event,Fall event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,1866661,54644,2619,351,2.914880291381493,2.587245104683218,3.284005484329468,3.173720370580555e-69,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo
reporting_country_time,time_exclude_2025,Report years 2004-2024,fall_event,Fall event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,3825160,122082,7316,967,2.6523102923574524,2.4692572719032095,2.8489335505826645,1.9213401909915045e-157,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo
age_comedication,age_65_74,Age 65-74,fall_event,Fall event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,2258097,54258,3838,311,2.022122372533831,1.7917956985615637,2.282056426848464,3.62239255592839e-30,True,converged,fit,,sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo
age_comedication,age_75_84,Age 75-84,fall_event,Fall event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,1446122,54134,2672,426,3.0230062079878857,2.709625258268572,3.3726311436042504,2.362828781834565e-87,True,converged,fit,,sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo
age_comedication,age_85_plus,Age >=85,fall_event,Fall event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,450454,24064,1288,321,3.7492471929523554,3.269208049900192,4.299773614680249,1.0263595666426125e-79,True,converged,fit,,sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo
age_comedication,comedication_exclude_benzo,Excluding benzodiazepine co-reports,fall_event,Fall event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,4020379,123600,6404,847,2.836772834734387,2.627410394776206,3.0628181010041295,1.568947066177705e-156,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo
age_comedication,comedication_exclude_antidepressant,Excluding antidepressant co-reports,fall_event,Fall event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,3933471,116182,6006,658,2.614602231473497,2.401667191335798,2.8464163783758694,5.979952431327911e-109,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo
age_comedication,comedication_exclude_opioid,Excluding opioid co-reports,fall_event,Fall event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,3937217,120753,6364,765,2.5284201875691097,2.33413673228439,2.738874958130818,1.8381212770667596e-114,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo
age_comedication,comedication_exclude_any_cns,Excluding any selected CNS high-risk co-report,fall_event,Fall event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,3589626,99161,4177,448,2.6872821159187184,2.420731724128782,2.983182770133517,8.538115844942082e-77,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo
reporting_country_time,reporting_rept_cod_EXP,Report type EXP,fall_event,Fall event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,2470022,104758,6191,927,2.7514220115744434,2.5560787759062493,2.961693965434349,8.162890564521469e-160,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo
reporting_country_time,reporting_rept_cod_PER,Report type PER,fall_event,Fall event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,1393441,19433,1019,42,1.8592885653027365,1.3557302555942616,2.549883322881372,0.00011885118126308743,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo
reporting_country_time,reporting_rept_cod_DIR,Report type DIR,fall_event,Fall event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,282333,8228,588,89,2.825487758187124,2.1033046358494887,3.7956370825194083,5.3136038746509396e-12,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo
reporting_country_time,reporting_rept_cod_30DAY,Report type 30DAY,fall_event,Fall event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,8536,33,0,0,,,,,False,skipped,skipped,exposure_has_no_variation,
reporting_country_time,reporting_rept_cod_5DAY,Report type 5DAY,fall_event,Fall event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,341,4,0,0,,,,,False,skipped,skipped,exposure_has_no_variation,
reporting_country_time,country_top_US,Reporter country US,fall_event,Fall event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,2172713,61029,2455,168,1.3870214799449248,1.1808449674556039,1.6291965828282526,6.762230133874284e-05,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo
reporting_country_time,country_top_UNITED_STATES,Reporter country UNITED STATES,fall_event,Fall event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,302568,10900,729,102,3.051062462726294,2.42786440288116,3.834226549230022,1.0787431174507703e-21,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo
reporting_country_time,country_top_JP,Reporter country JP,fall_event,Fall event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,218116,5000,293,34,3.4290346090170596,2.357947821122271,4.9866575691401005,1.1228404586936483e-10,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo
reporting_country_time,country_top_FR,Reporter country FR,fall_event,Fall event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,165265,6314,1214,263,3.32155789191552,2.8333720404965645,3.8938574502954157,1.4505389854316928e-49,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo
reporting_country_time,country_top_CA,Reporter country CA,fall_event,Fall event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,153330,10381,102,73,18.528720755903496,11.795491274514964,29.105484872173434,8.687312715270415e-37,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo
