analysis_tier,analysis,comparison,outcome_name,outcome_definition,feature_domain,feature_name,feature_label,a,b,c,d,n,exposed_n,unexposed_n,reporting_rate_exposed,reporting_rate_unexposed,ror,ror_ci_low,ror_ci_high,prr,prr_ci_low,prr_ci_high,chi_square_yates,p_value,expected_a,ic,ic025,ic975,ebgm,eb05,eb95,signal_flag_mhra,signal_flag_ror,signal_flag_ic,signal_flag_ebgm,raw_signal_detected,stability_status,is_stable_signal,conclusion,fdr_q_value,fdr_significant
exploratory,primary_ps_ss,feature_positive_vs_feature_negative_among_zolpidem_suspect_cases,strict_fall,OCMQ-compatible narrow fall event,demographic,age_group=65-74,Age 65-74,318,3668,752,3273,8011,3986,4025,0.07977922729553437,0.18683229813664595,0.37733401587043786,0.32826157142961954,0.43374239303377865,0.4270098269475078,0.3773721836714522,0.48317655672387116,197.40325616406346,7.700476990694664e-45,532.3954562476595,-0.74255915947748,-0.9055357634830504,-0.588409038801311,0.597118192685688,0.5440642078515846,0.6541777878647176,False,False,False,False,False,stable,False,no_stable_signal,1.6941049379528261e-43,True
exploratory,primary_ps_ss,feature_positive_vs_feature_negative_among_zolpidem_suspect_cases,strict_fall,OCMQ-compatible narrow fall event,demographic,age_group=75-84,Age 75-84,426,2279,644,4662,8011,2705,5306,0.15748613678373383,0.12137203166226913,1.3531678653871835,1.1855280806604878,1.5445127802425187,1.2975488226311982,1.1585488837466178,1.4532256435023505,19.880667065477414,8.242971283577984e-06,361.2969666708276,0.23736542918225406,0.09707266178043565,0.37106802911405734,1.1772113402258608,1.0863704444445832,1.273949854982933,False,True,True,False,True,stable,True,signal_detected,1.5112114019892969e-05,True
exploratory,primary_ps_ss,feature_positive_vs_feature_negative_among_zolpidem_suspect_cases,strict_fall,OCMQ-compatible narrow fall event,demographic,age_group=>=85,Age >=85,326,994,744,5947,8011,1320,6691,0.24696969696969698,0.11119414138394859,2.621538370004976,2.264321050872983,3.0351099826408223,2.2210675301401106,1.9777455758299025,2.4943253741688407,174.4548091916583,7.875232212601615e-40,176.30757708151293,0.8849028890803308,0.7239920885088662,1.037203632071585,1.8414335867093004,1.6797654848032402,2.0151518532521253,True,True,True,False,True,stable,True,signal_detected,5.775170289241184e-39,True
exploratory,primary_ps_ss,feature_positive_vs_feature_negative_among_zolpidem_suspect_cases,strict_fall,OCMQ-compatible narrow fall event,demographic,sex_clean=F,Female,776,4283,294,2658,8011,5059,2952,0.15338999802332476,0.09959349593495935,1.6380278938565853,1.4202125911144046,1.8892491151249777,1.5401607964790975,1.357395665642693,1.7475341487023242,46.156057765719154,1.0919885751901509e-11,675.7121457995256,0.19950999514943898,0.09619516282074982,0.2992060201199772,1.1474599037115636,1.0812953249723525,1.2167821655206597,False,True,True,False,True,stable,True,signal_detected,2.402374865418332e-11,True
exploratory,primary_ps_ss,feature_positive_vs_feature_negative_among_zolpidem_suspect_cases,strict_fall,OCMQ-compatible narrow fall event,demographic,sex_clean=M,Male,294,2658,776,4283,8011,2952,5059,0.09959349593495935,0.15338999802332476,0.610490214330595,0.5293108208939655,0.704119936871793,0.6492828555862878,0.5722348835028919,0.73670487191848,46.156057765719154,1.0919885751901509e-11,394.2878542004743,-0.4228099713558831,-0.5924913408957077,-0.262674968652966,0.7450270438441776,0.6762882792152413,0.8191708248214624,False,False,False,False,False,stable,False,no_stable_signal,2.402374865418332e-11,True
exploratory,primary_ps_ss,feature_positive_vs_feature_negative_among_zolpidem_suspect_cases,strict_fall,OCMQ-compatible narrow fall event,medication_burden,polypharmacy_5=True,Polypharmacy >=5,727,3207,343,3734,8011,3934,4077,0.18479918657854602,0.08413048810399804,2.4678323019706347,2.1523331616431722,2.829578793461602,2.196578086532747,1.9468515998288796,2.4783374812235084,174.45661196296976,7.86809658948435e-40,525.450006241418,0.46802157621323115,0.36121990365857004,0.5709606211779796,1.381897708516955,1.2996393929636834,1.4682149658518153,True,True,True,False,True,stable,True,signal_detected,5.775170289241184e-39,True
exploratory,primary_ps_ss,feature_positive_vs_feature_negative_among_zolpidem_suspect_cases,strict_fall,OCMQ-compatible narrow fall event,co_medication,is_benzo=True,Benzodiazepine co-report,216,1301,854,5640,8011,1517,6494,0.14238628872775214,0.1315060055435787,1.0964723586792362,0.9334284115984175,1.2879955424635652,1.082736017562087,0.9427755097907062,1.2434744767462824,1.1656771966121324,0.2802912438199418,202.620147297466,0.09203367864851521,-0.1068528026383616,0.2779306989623579,1.0632552590133428,0.9495694989235212,1.1874329092367877,False,False,False,False,False,stable,False,no_stable_signal,0.3245477560020379,False
exploratory,primary_ps_ss,feature_positive_vs_feature_negative_among_zolpidem_suspect_cases,strict_fall,OCMQ-compatible narrow fall event,co_medication,is_antidepressant=True,Antidepressant co-report,410,1482,660,5459,8011,1892,6119,0.2167019027484144,0.1078607615623468,2.288257064572854,1.9973598988383772,2.62152073675495,2.0090893074508296,1.7963101816967222,2.247072853253326,146.9952181613562,7.866409661774002e-34,252.70752715016852,0.6970619293189387,0.5539931721868901,0.833283506973293,1.6180052129835574,1.4908181135866907,1.7536141209801845,True,True,True,False,True,stable,True,signal_detected,4.326525313975701e-33,True
exploratory,primary_ps_ss,feature_positive_vs_feature_negative_among_zolpidem_suspect_cases,strict_fall,OCMQ-compatible narrow fall event,co_medication,is_antipsychotic=True,Antipsychotic co-report,115,620,955,6321,8011,735,7276,0.1564625850340136,0.13125343595382077,1.2276895794629286,0.9948340260028964,1.515048404182221,1.1920646792748515,0.9977198105641643,1.4242657953951368,3.451274093194622,0.06320303206013082,98.17126451129697,0.22719094880795795,-0.048661601756946005,0.4786720390434962,1.1646555210862999,0.996970648238136,1.3538766285364432,False,False,False,False,False,stable,False,no_stable_signal,0.07724815029571545,False
exploratory,primary_ps_ss,feature_positive_vs_feature_negative_among_zolpidem_suspect_cases,strict_fall,OCMQ-compatible narrow fall event,co_medication,is_opioid=True,Opioid co-report,298,1160,772,5781,8011,1458,6553,0.20438957475994513,0.11780863726537463,1.9237292299446132,1.6594222683408275,2.2301340778338905,1.734928605442902,1.53717159653339,1.9581270384985745,76.50804952725174,2.193172045831578e-18,194.73973286730745,0.612484248581896,0.4439773620415975,0.7715727941336207,1.5249849134561546,1.3851943816516448,1.675690673714464,False,True,True,False,True,stable,True,signal_detected,8.041630834715787e-18,True
