section,analysis_tier,analysis,outcome_name,n_cases,n_outcome,n_exposed,n_zolpidem_exposed_cases,model,model_label,n_terms,requested_covariates,used_covariates,optimization_success,optimization_message,comparison,exposure,n_exposed_outcome,status,skip_reason,outcome_definition,adjusted_ror,ci_low,ci_high,p_value,period_token,signal_file,feature_file,n_rows,n_columns
sensitivity_adjusted_qc,,indication_exclude_dizziness_vertigo,fall_event,4150110.0,132062.0,7765.0,,extended_report_indication_adjusted,Extended report-indication adjustment model,,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy,True,converged,Excluding dizziness or vertigo indication,is_zolpidem_suspect,1042.0,fit,,,,,,,,,,,
sensitivity_adjusted_qc,,reporting_e_sub_y,fall_event,3663908.0,116678.0,6615.0,,extended_report_indication_adjusted,Extended report-indication adjustment model,,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,True,converged,Electronic submission reports,is_zolpidem_suspect,888.0,fit,,,,,,,,,,,
sensitivity_adjusted_qc,,reporting_e_sub_n,fall_event,490765.0,15778.0,1183.0,,extended_report_indication_adjusted,Extended report-indication adjustment model,,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,True,converged,Non-electronic submission reports,is_zolpidem_suspect,170.0,fit,,,,,,,,,,,
sensitivity_adjusted_qc,,country_us,fall_event,2475281.0,71929.0,3184.0,,extended_report_indication_adjusted,Extended report-indication adjustment model,,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,True,converged,Reporter country US,is_zolpidem_suspect,270.0,fit,,,,,,,,,,,
sensitivity_adjusted_qc,,country_non_us,fall_event,1679392.0,60527.0,4614.0,,extended_report_indication_adjusted,Extended report-indication adjustment model,,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,True,converged,Reporter country non-US,is_zolpidem_suspect,788.0,fit,,,,,,,,,,,
sensitivity_adjusted_qc,,time_2004_2012,fall_event,613460.0,22560.0,1624.0,,extended_report_indication_adjusted,Extended report-indication adjustment model,,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,True,converged,Report years 2004-2012,is_zolpidem_suspect,251.0,fit,,,,,,,,,,,
sensitivity_adjusted_qc,,time_2013_2019,fall_event,1674552.0,55252.0,3555.0,,extended_report_indication_adjusted,Extended report-indication adjustment model,,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,True,converged,Report years 2013-2019,is_zolpidem_suspect,456.0,fit,,,,,,,,,,,
sensitivity_adjusted_qc,,time_2020_2025,fall_event,1866661.0,54644.0,2619.0,,extended_report_indication_adjusted,Extended report-indication adjustment model,,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,True,converged,Report years 2020-2025,is_zolpidem_suspect,351.0,fit,,,,,,,,,,,
sensitivity_adjusted_qc,,time_exclude_2025,fall_event,3825160.0,122082.0,7316.0,,extended_report_indication_adjusted,Extended report-indication adjustment model,,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,True,converged,Report years 2004-2024,is_zolpidem_suspect,967.0,fit,,,,,,,,,,,
sensitivity_adjusted_qc,,age_65_74,fall_event,2258097.0,54258.0,3838.0,,extended_report_indication_adjusted,Extended report-indication adjustment model,,,sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,True,converged,Age 65-74,is_zolpidem_suspect,311.0,fit,,,,,,,,,,,
