analysis_tier,analysis,comparison,exposure_definition,outcome_name,outcome_definition,a,b,c,d,n,exposed_n,unexposed_n,reporting_rate_exposed,reporting_rate_unexposed,ror,ror_ci_low,ror_ci_high,prr,prr_ci_low,prr_ci_high,chi_square_yates,p_value,expected_a,ic,ic025,ic975,ebgm,eb05,eb95,signal_flag_mhra,signal_flag_ror,signal_flag_ic,signal_flag_ebgm,raw_signal_detected,stability_status,is_stable_signal,conclusion
sensitivity,sensitivity_ps_only,zolpidem_primary_suspect_vs_all_other_primary_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect_ps,strict_fall,OCMQ-compatible narrow fall event,474,3840,131991,4017928,4154233,4314,4149919,0.10987482614742698,0.03180568102654534,3.757551556545522,3.415041845170206,4.134413087812098,3.454566058677516,3.1727382074111743,3.761428102038204,848.3195795566533,1.6861403576869543e-186,137.55945080596106,1.7811184368125785,1.648280719722104,1.9080329742201068,3.424523445002409,3.1735741959014896,3.690893683391065,True,True,True,True,True,stable,True,signal_detected
sensitivity,comparative_ps_ss,zolpidem_only_vs_other_zdrug_only,target_drug_group=zolpidem_only,strict_fall,OCMQ-compatible narrow fall event,1058,6740,628,6171,14597,7798,6799,0.1356758143113619,0.09236652448889543,1.5424875730027028,1.38929808683278,1.7125683360666315,1.4688851297817667,1.3381400855090297,1.612404820585907,66.26303644226554,3.945893610897906e-16,900.6938412002467,0.23211191006944734,0.14385300658156105,0.3177163252698395,1.1739018178885448,1.1157303965372682,1.2344431036754466,False,True,True,False,True,stable,True,signal_detected
sensitivity,comparative_ps_only,zolpidem_only_vs_other_zdrug_only_primary_suspect_only,target_drug_group_ps=zolpidem_only,strict_fall,OCMQ-compatible narrow fall event,474,3840,41,2884,7239,4314,2925,0.10987482614742698,0.014017094017094018,8.682774390243903,6.287993914435483,11.989606246087419,7.838630889785949,5.717159795923997,10.74731797248567,240.93556784854462,2.45873427477936e-54,306.90841276419394,0.6262514398263359,0.49341372273586137,0.753165977233864,1.5410429469981999,1.428115242868788,1.6609101296154234,True,True,True,False,True,stable,True,signal_detected
