event_name,event_year,period_label,start_year,end_year,interpretation_scope,analysis,comparison,exposure_definition,outcome_name,outcome_definition,zolpidem_cases,zolpidem_fall_cases,zolpidem_fall_reporting_rate,a,b,c,d,n,exposed_n,unexposed_n,reporting_rate_exposed,reporting_rate_unexposed,ror,ror_ci_low,ror_ci_high,prr,prr_ci_low,prr_ci_high,chi_square_yates,p_value,expected_a,ic,ic025,ic975,ebgm,eb05,eb95,signal_flag_mhra,signal_flag_ror,signal_flag_ic,signal_flag_ebgm,stability_status
2013_fda_dose_reduction,2013,pre_2013,2004,2012,main,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,OCMQ-compatible narrow fall event,1624,251,0.1545566502463054,251,1373,22309,589527,613460,1624,611836,0.1545566502463054,0.036462385345092475,4.830885911273941,4.219933863668042,5.530290151860276,4.238797017351675,3.7802868359702693,4.752919800515042,634.363757199671,5.620168125525006e-140,59.72262250187461,2.0621809607501436,1.8781157451360269,2.2350660929631965,4.141786953691973,3.7295738900368107,4.589183828241283,True,True,True,True,stable
2013_fda_dose_reduction,2013,post_2013,2013,2025,main,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,OCMQ-compatible narrow fall event,6174,807,0.13070942662779397,807,5367,109089,3425950,3541213,6174,3535039,0.13070942662779397,0.030859348369282488,4.722174146338971,4.384270897728477,5.086120175627246,4.235650897862206,3.9707064633599702,4.518273686083469,2040.1447321888324,0.0,191.60042166342436,2.071601574061511,1.9703249030474923,2.16939840476591,4.192618295564833,3.955442294207265,4.44088902675888,True,True,True,True,stable
2019_fda_boxed_warning,2019,pre_2019,2004,2018,main,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,OCMQ-compatible narrow fall event,4518,621,0.13745019920318724,621,3897,67318,1924055,1995891,4518,1991373,0.13745019920318724,0.03380481707846797,4.554570952647141,4.183281792772497,4.958814058029016,4.065994467123928,3.778151686908809,4.375766876689043,1469.5696047923461,0.0,153.7901628896568,2.010108308647912,1.8943793969266276,2.121315551166532,4.015113463541714,3.757046249347506,4.28698514657724,True,True,True,True,stable
2019_fda_boxed_warning,2019,post_2019,2019,2025,main,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,OCMQ-compatible narrow fall event,3280,437,0.13323170731707318,437,2843,64080,2091422,2158782,3280,2155502,0.13323170731707318,0.029728573668685997,5.016764866551352,4.5347547805025314,5.550008973908608,4.48160442548948,4.105625412738817,4.892014299270562,1206.5633045281868,2.285142000564524e-264,98.02553476914296,2.150713436901376,2.0122387413913927,2.2827637501525695,4.418053346118831,4.081306736500236,4.776377198474119,True,True,True,True,stable
2023_ags_beers_criteria,2023,pre_2023,2004,2022,exploratory,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,OCMQ-compatible narrow fall event,6556,886,0.13514338010982307,886,5670,104883,3106608,3218047,6556,3211491,0.13514338010982307,0.03265866228490131,4.628412077413346,4.310877335968485,4.969336097690888,4.138056204840402,3.891135105808942,4.400646260998508,2158.5968377011627,0.0,215.47900450179876,2.037229557500735,1.9406491104257437,2.1306403512277403,4.09508556749641,3.8737573741029667,4.326284767223192,True,True,True,True,stable
2023_ags_beers_criteria,2023,post_2023,2023,2025,exploratory,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,OCMQ-compatible narrow fall event,1242,172,0.13848631239935588,172,1070,26515,908869,936626,1242,935384,0.13848631239935588,0.028346646938583513,5.510034630371453,4.688419821833644,6.4756320426993375,4.885456565617918,4.250520266321959,5.615238690578531,539.5955343473215,2.3089961998806583e-119,35.38792858622332,2.265025802072933,2.041273258531852,2.4724710901861155,4.740589757284286,4.1757962744305495,5.364089238410766,True,True,True,True,stable
2013_fda_dose_reduction,2013,pre_2013,2004,2012,main,sensitivity_ps_only,zolpidem_primary_suspect_vs_all_other_primary_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect_ps,strict_fall,OCMQ-compatible narrow fall event,969,156,0.1609907120743034,156,813,22406,590097,613472,969,612503,0.1609907120743034,0.03658104531732906,5.053509981676626,4.255633047209829,6.0009786679443735,4.40093252332621,3.8095199072344648,5.084159565117176,419.1990860728498,3.6456506104718924e-93,35.637450445986126,2.114596026658506,1.8792227743718795,2.331992310302098,4.271592710025797,3.738633892291936,4.862855363368185,True,True,True,True,stable
2013_fda_dose_reduction,2013,post_2013,2013,2025,main,sensitivity_ps_only,zolpidem_primary_suspect_vs_all_other_primary_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect_ps,strict_fall,OCMQ-compatible narrow fall event,3345,318,0.09506726457399103,318,3027,109585,3427831,3540761,3345,3537416,0.09506726457399103,0.030978827483111968,3.286116750133952,2.927092381331454,3.689177480144633,3.068781884201935,2.763676811643636,3.4075700216210056,454.25090318288926,8.570595014413164e-101,103.82670137860194,1.6101849239583237,1.4472083199527532,1.7643350446344923,3.0383492624749824,2.768391760481892,3.3286887313656623,True,True,True,True,stable
2019_fda_boxed_warning,2019,pre_2019,2004,2018,main,sensitivity_ps_only,zolpidem_primary_suspect_vs_all_other_primary_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect_ps,strict_fall,OCMQ-compatible narrow fall event,2510,307,0.12231075697211155,307,2203,67638,1925779,1995927,2510,1993417,0.12231075697211155,0.03393068284257634,3.9677067607930216,3.520274626512584,4.472008183986032,3.604724300409174,3.2452253768425594,4.004047723367353,592.7920239761764,6.18880587124944e-131,85.44498370932403,1.8391010679497555,1.6731508447194523,1.99590882092415,3.5571773202609416,3.2357288578491445,3.903341596191824,True,True,True,True,stable
2019_fda_boxed_warning,2019,post_2019,2019,2025,main,sensitivity_ps_only,zolpidem_primary_suspect_vs_all_other_primary_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect_ps,strict_fall,OCMQ-compatible narrow fall event,1804,167,0.09257206208425721,167,1637,64353,2092149,2158306,1804,2156502,0.09257206208425721,0.02984138201587571,3.316588612816976,2.827875606943396,3.889760921470196,3.1021372279276,2.6842793359170627,3.585042455205811,242.4283238476435,1.1620729821527962e-54,53.92844202814615,1.621728449828095,1.3945286350229622,1.8321335386105828,3.0494265369664477,2.6810103824664906,3.4567326462181933,True,True,True,True,stable
