mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__class_weight,param_model__l1_ratio,param_model__penalty,params,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_neg_brier_score,split1_test_neg_brier_score,split2_test_neg_brier_score,mean_test_neg_brier_score,std_test_neg_brier_score,rank_test_neg_brier_score
260.9243193467458,21.64713561792764,0.7044394810994467,0.0002017909964660163,3.0,,0.0,elasticnet,"{'model__C': 3.0, 'model__class_weight': None, 'model__l1_ratio': 0.0, 'model__penalty': 'elasticnet'}",0.15505497612368077,0.15153142361220695,0.14718527003557375,0.15125722325715382,0.003218639241908568,1,0.7902389131690816,0.7865850568068455,0.7891241530606756,0.7886493743455342,0.0015289926313811226,6,-0.029341767100697257,-0.029409279131810215,-0.029533367179198303,-0.029428137803901924,7.934895359611967e-05,5
212.8092139561971,20.246455790780956,0.5166247685750326,0.007693854827702341,1.0,,0.0,elasticnet,"{'model__C': 1.0, 'model__class_weight': None, 'model__l1_ratio': 0.0, 'model__penalty': 'elasticnet'}",0.1550479246356644,0.1515276917868772,0.1471679658967717,0.15124786077310445,0.0032230592588269034,2,0.79023425643232,0.7865725406083804,0.78911941608345,0.7886420710413834,0.0015325217585647366,7,-0.029341541320899764,-0.02940901102352927,-0.02953286198105038,-0.02942780477515981,7.922879348393307e-05,4
204.906370083491,19.120542780609338,0.576944907506307,0.007134438446309571,0.3,,0.0,elasticnet,"{'model__C': 0.3, 'model__class_weight': None, 'model__l1_ratio': 0.0, 'model__penalty': 'elasticnet'}",0.1550320247335678,0.15149848290456988,0.14712208536032578,0.15121753099948784,0.003235324373414824,3,0.7902182969015029,0.7865296775311299,0.7890988400072898,0.7886156048133076,0.001544153577077112,8,-0.029340788005437598,-0.02940812255701872,-0.0295311339811659,-0.02942668151454074,7.880872962313193e-05,3
197.9333066145579,22.340927883735837,0.5864864985148112,0.028142473342210927,0.1,,0.0,elasticnet,"{'model__C': 0.1, 'model__class_weight': None, 'model__l1_ratio': 0.0, 'model__penalty': 'elasticnet'}",0.1549420556450049,0.15139839751927647,0.1470009275190554,0.15111379356111226,0.0032481921677489645,4,0.790162615711882,0.786392280004469,0.7890361654628124,0.7885303537263878,0.0015802409038238189,9,-0.02933892227623492,-0.029405990099916395,-0.029526614261399537,-0.02942384221251695,7.765776959191262e-05,2
192.54838395118713,15.941649429986642,0.7349836826324463,0.010259569136169525,0.03,,0.0,elasticnet,"{'model__C': 0.03, 'model__class_weight': None, 'model__l1_ratio': 0.0, 'model__penalty': 'elasticnet'}",0.1545993872077362,0.15097108344163926,0.14661323419845573,0.15072790161594374,0.003264864777411289,5,0.7899105781534744,0.7858598513204437,0.7887691352380912,0.7881798549040031,0.0017053905619273068,10,-0.02933502786146718,-0.02940211892921981,-0.029514361155282446,-0.029417169315323146,7.398194896528412e-05,1
1336.342226266861,62.607737789451114,0.5577559471130371,0.022980749912076753,0.03,balanced,0.0,elasticnet,"{'model__C': 0.03, 'model__class_weight': 'balanced', 'model__l1_ratio': 0.0, 'model__penalty': 'elasticnet'}",0.1540024508305688,0.1498599177865963,0.14529113752443237,0.1497178353805325,0.00355779758062035,6,0.7936153782750999,0.7896386404209703,0.7924473233919779,0.7919004473626826,0.0016689150235367455,1,-0.03097179234174754,-0.16028961421501228,-0.3368958382414019,-0.17605241493272059,0.12538934000345509,9
1269.6804133256276,13.36660328969008,0.5850609143575033,0.012050599948343113,0.1,balanced,0.0,elasticnet,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__l1_ratio': 0.0, 'model__penalty': 'elasticnet'}",0.15316939375026986,0.15001712938345158,0.14517745430163953,0.14945465914512032,0.0032868478936918404,7,0.7933941302183859,0.78944899221844,0.7922248581740383,0.791689326870288,0.0016545137840921914,2,-0.13906558158704288,-0.1833618635179827,-0.19608250585501982,-0.17283665032001513,0.02443791450311118,8
1630.9093069235485,50.21935796778542,0.7495379447937012,0.009111960129736934,1.0,balanced,0.0,elasticnet,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'model__l1_ratio': 0.0, 'model__penalty': 'elasticnet'}",0.15350537440515888,0.14981027008061792,0.14489326452681353,0.14940296967086344,0.0035276554401862063,8,0.7931778518656782,0.7892803752592699,0.7918828512968757,0.791447026140608,0.0016207073866066487,4,-0.030514314770452196,-0.18577520393662247,-0.212385156490529,-0.14289155839920123,0.0802018539184172,7
1301.8756405512493,34.55975687259149,0.5573378403981527,0.02048447665356194,0.3,balanced,0.0,elasticnet,"{'model__C': 0.3, 'model__class_weight': 'balanced', 'model__l1_ratio': 0.0, 'model__penalty': 'elasticnet'}",0.1533884938367088,0.14949554656515496,0.1447974463432759,0.1492271622483799,0.0035124110299264073,9,0.7932049289283314,0.7893593476680416,0.7919620845722246,0.7915087870561992,0.001602338454862992,3,-0.1872994402412149,-0.18199731032847843,-0.16631874281249806,-0.1785384977940638,0.00890767288203487,10
1609.5656820933025,82.03170454526438,0.7349265416463217,0.03916028989518719,3.0,balanced,0.0,elasticnet,"{'model__C': 3.0, 'model__class_weight': 'balanced', 'model__l1_ratio': 0.0, 'model__penalty': 'elasticnet'}",0.15284425681229252,0.1495778091615156,0.14490112911469777,0.14910773169616864,0.003259759604903866,10,0.7930270412243063,0.789205587510212,0.7918975443819505,0.7913767243721562,0.0016029799820319963,5,-0.032863172477577654,-0.16582358598114366,-0.15626064870301626,-0.11831580238724586,0.06055012475189676,6
