feature,coefficient,odds_ratio
bool__pheno_gait_balance_motor,1.3532698347566354,3.870059318711446
bool__pheno_dizziness_vertigo_syncope,1.0212409340989361,2.7766382520388873
bool__pheno_consciousness_cognition,0.9127895797898609,2.491262424505072
bool__indi_soc_nervous_system_disorders,0.716303465784043,2.046852946969985
bool__event_date_known,0.6839740439344101,1.981737616477868
bool__pheno_hypotension,0.6081087651635454,1.8369540001313782
categorical__rept_cod_EXP,0.5783609720191941,1.7831134614953112
bool__indi_soc_musculoskeletal_and_connective_tissue_disorders,0.573146053173625,1.7738388736315072
categorical__reporter_country_FRANCE,0.4424159111026996,1.5564629560570609
categorical__occr_country_CA,0.39569818928588957,1.4854209339384774
bool__indi_insomnia,0.33634877078200975,1.399827158495346
categorical__occr_country_DE,0.31366312078988356,1.3684286637214762
categorical__reporter_country_COUNTRY NOT SPECIFIED,0.3083822229306828,1.3612211794649656
bool__indi_soc_general_disorders_and_administration_site_conditions,0.30044142857665984,1.3504548053636727
categorical__reporter_country_AR,0.2988875715305555,1.3483580211222823
bool__zolpidem_as_suspect,0.28916721327114037,1.3353149922495164
categorical__reporter_country_CA,0.2890703784628985,1.3351856935387085
categorical__reporter_country_UNITED STATES,0.28801789152825014,1.3337811672933437
numeric__log_drug_n,0.27398970586743365,1.315201263312883
categorical__occr_country_AU,0.2657797901787907,1.3044477748454515
numeric__age_years,0.2636484565239433,1.3016705220794018
bool__indi_soc_cardiac_disorders,0.2565424097917007,1.292453577324396
categorical__reporter_country_AU,0.2516682329987094,1.2861692579752386
categorical__occr_country_AR,0.2493610083321366,1.2832051972297616
bool__is_antidepressant,0.24281280811193018,1.2748299639536125
bool__indi_soc_psychiatric_disorders,0.22427814352973147,1.2514190451359566
categorical__occr_country_BR,0.21479761583411214,1.2396109939404845
categorical__reporter_country_US,0.21014584288113192,1.2338579962402907
bool__has_ss_drug,0.20319643666427586,1.2253131410343638
bool__indi_soc_renal_and_urinary_disorders,0.1798434818350739,1.1970299915210287
categorical__occr_country_FR,0.16928597810448642,1.1844588197821297
categorical__reporter_country_DE,0.16216986978161377,1.1760600014095222
bool__indi_soc_vascular_disorders,0.15669393301829243,1.1696375716700034
bool__zolpidem_as_ps,0.15608462919213564,1.1689251240929268
categorical__occr_country_US,0.1556801967841797,1.168452468475337
categorical__occr_country_IL,0.1524839733020054,1.164723795268517
categorical__reporter_country_BR,0.14707980074511423,1.1584464042276004
categorical__reporter_country_IL,0.14367524704620907,1.1545091173924187
categorical__distinct_drug_n_bucket_0-1,0.14363871369174952,1.1544669400720504
categorical__sex_clean_F,0.14098696121733018,1.1514096349068748
categorical__rpsr_cod_FGN|HP|SDY,0.13321687680803282,1.1424977527296283
bool__indi_depression,0.12372700554977042,1.1317068791272726
categorical__rept_cod_DIR,0.1228613105030595,1.130727590031702
categorical__reporter_country_CANADA,0.1226224114953768,1.1304574925967732
categorical__reporter_country_MEXICO,0.11149325676850201,1.1179462054100482
bool__indi_soc_surgical_and_medical_procedures,0.1016679835871028,1.1070158632693465
categorical__rpsr_cod_CSM|HP,0.10119985058006259,1.1064977538859466
categorical__occr_country_IE,0.1006347252631749,1.105872620648093
bool__pheno_sedation_somnolence,0.096258759336971,1.1010439325341506
categorical__occr_country_unknown,0.09551164082952003,1.1002216294518135
numeric__cns_coprescription_count,0.09128206912836362,1.0955779904076395
categorical__occr_country_TW,0.08784111002894356,1.091814629850543
categorical__e_sub_N,0.0838107463958471,1.0874230755972254
bool__other_zdrug_as_suspect,0.08121143376642674,1.0846001934293203
categorical__occr_country_GB,0.07724176189568167,1.0803032209785381
categorical__reporter_country_FR,0.0727554419595563,1.0754674905289154
categorical__distinct_drug_n_bucket_2,0.07267426598552025,1.0753801919511492
categorical__reporter_country_BRAZIL,0.07183582806037334,1.0744789302930402
categorical__reporter_country_TW,0.07001735401040991,1.0725267937338587
categorical__reporter_country_IE,0.06964889739474459,1.0721316869355562
categorical__occr_country_ZA,0.0689347296103993,1.0713662783717721
categorical__drug_n_bucket_5-9,0.06434505620869051,1.0664603240365353
bool__is_antipsychotic,0.06293987828212584,1.0649628099129445
bool__indi_soc_congenital_familial_and_genetic_disorders,0.05764517254780791,1.059339046440815
categorical__rpsr_cod_FGN|HP|OTH|SDY,0.053515772806143704,1.05497363153094
categorical__rpsr_cod_HP|SDY,0.05318183379127379,1.054621393491998
categorical__reporter_country_BELGIUM,0.052974508033646776,1.0544027659769233
bool__is_zolpidem,0.05270345604441834,1.0541170067393117
categorical__rpsr_cod_CSM|SDY,0.05197177136837953,1.0533460075772616
categorical__occr_country_CR,0.04989600360578434,1.0511617736573406
"categorical__reporter_country_KOREA, REPUBLIC OF",0.04905813726861579,1.0502814094575412
categorical__reporter_country_CO,0.04849284919486963,1.0496878656801125
categorical__occr_country_BE,0.0483194374711464,1.0495058532799517
categorical__rpsr_cod_unknown,0.04742759025905971,1.0485702716705732
categorical__rpsr_cod_HP|OTH,0.045093074411833106,1.0461252228674687
bool__indi_soc_endocrine_disorders,0.04417702595920377,1.045167360267063
categorical__rpsr_cod_FGN|HP|LIT,0.04407137764089696,1.045056945925749
categorical__age_group_>=85,0.04121951821563733,1.0420808361649971
categorical__occr_country_NZ,0.04019115064910975,1.0410097448635562
bool__indi_soc_reproductive_system_and_breast_disorders,0.03920064473071006,1.03997912904995
bool__indi_soc_respiratory_thoracic_and_mediastinal_disorders,0.039123152864092,1.0398985422484475
categorical__reporter_country_SWITZERLAND,0.03904796905539743,1.0398203616543795
categorical__reporter_country_ZA,0.038562369347173574,1.0393155477688125
categorical__reporter_country_CR,0.037142567568166404,1.0378409727549631
numeric__concomitant_drug_n,0.03461429806771038,1.0352203452994098
categorical__occr_country_FI,0.03396974637638276,1.034553307268289
categorical__reporter_country_MX,0.03309490828219791,1.0336486364025925
categorical__occr_country_MX,0.031676885887467074,1.0321839382207354
categorical__reporter_country_NZ,0.031102754519652213,1.0315914991296546
categorical__reporter_country_PK,0.028452608167289742,1.028861250058857
categorical__occr_country_PR,0.028337362224135312,1.0287426848059322
categorical__rpsr_cod_CSM|DT,0.02690925768693533,1.0272745812623298
bool__any_cns_coprescription,0.025529603651063142,1.0258582749713425
categorical__occr_country_CO,0.02493980745354633,1.0252534060538012
categorical__rpsr_cod_CSM|FGN|OTH,0.023304687002097778,1.023578363063373
categorical__reporter_country_VENEZUELA,0.022955098060812668,1.0232205939268177
categorical__reporter_country_PR,0.02178505333299273,1.0220240801892948
categorical__reporter_country_CHILE,0.021206591417977524,1.021433049143633
categorical__reporter_country_DENMARK,0.021141538971021282,1.021366604585598
categorical__reporter_country_FI,0.02086539889702322,1.0210846032735523
categorical__drug_n_bucket_3-4,0.020850835634522502,1.021069733058719
numeric__drug_n,0.020805256318544053,1.0210231944593267
bool__has_ps_drug,0.020040364494512256,1.0202425207692611
categorical__cns_coprescription_bucket_1,0.01976336787043558,1.019959956171795
categorical__drug_n_bucket_20+,0.018083185956577045,1.0182476767738284
categorical__rpsr_cod_CSM|FGN,0.018044419153840755,1.018208203332141
categorical__rpsr_cod_CR|HP,0.01783608588837672,1.0179960987872017
categorical__quarter_Q2,0.016732595343126218,1.016873369291708
categorical__cns_coprescription_bucket_2,0.016583243188403,1.0167215084035812
categorical__rpsr_cod_HP,0.01603323521274084,1.01616245722033
categorical__occr_country_DO,0.01581827197729444,1.0159440431271278
categorical__age_group_75-84,0.015799045417764664,1.0159245102062797
categorical__occr_country_PK,0.015564217434614155,1.0156859707114854
categorical__reporter_country_JP,0.015077373383299375,1.0151916103865966
