feature,odds_ratio
bool__pheno_gait_balance_motor,3.870059318711446
bool__pheno_dizziness_vertigo_syncope,2.7766382520388873
bool__pheno_consciousness_cognition,2.491262424505072
bool__indi_soc_nervous_system_disorders,2.046852946969985
bool__event_date_known,1.981737616477868
bool__pheno_hypotension,1.8369540001313782
categorical__rept_cod_EXP,1.7831134614953112
bool__indi_soc_musculoskeletal_and_connective_tissue_disorders,1.7738388736315072
categorical__reporter_country_FRANCE,1.5564629560570609
categorical__occr_country_CA,1.4854209339384774
bool__indi_insomnia,1.399827158495346
categorical__occr_country_DE,1.3684286637214762
categorical__reporter_country_COUNTRY NOT SPECIFIED,1.3612211794649656
bool__indi_soc_general_disorders_and_administration_site_conditions,1.3504548053636727
categorical__reporter_country_AR,1.3483580211222823
bool__zolpidem_as_suspect,1.3353149922495164
categorical__reporter_country_CA,1.3351856935387085
categorical__reporter_country_UNITED STATES,1.3337811672933437
numeric__log_drug_n,1.315201263312883
categorical__occr_country_AU,1.3044477748454515
numeric__age_years,1.3016705220794018
bool__indi_soc_cardiac_disorders,1.292453577324396
categorical__reporter_country_AU,1.2861692579752386
categorical__occr_country_AR,1.2832051972297616
bool__is_antidepressant,1.2748299639536125
bool__indi_soc_psychiatric_disorders,1.2514190451359566
categorical__occr_country_BR,1.2396109939404845
categorical__reporter_country_US,1.2338579962402907
bool__has_ss_drug,1.2253131410343638
bool__indi_soc_renal_and_urinary_disorders,1.1970299915210287
categorical__occr_country_FR,1.1844588197821297
categorical__reporter_country_DE,1.1760600014095222
bool__indi_soc_vascular_disorders,1.1696375716700034
bool__zolpidem_as_ps,1.1689251240929268
categorical__occr_country_US,1.168452468475337
categorical__occr_country_IL,1.164723795268517
categorical__reporter_country_BR,1.1584464042276004
categorical__reporter_country_IL,1.1545091173924187
categorical__distinct_drug_n_bucket_0-1,1.1544669400720504
categorical__sex_clean_F,1.1514096349068748
categorical__rpsr_cod_FGN|HP|SDY,1.1424977527296283
bool__indi_depression,1.1317068791272726
categorical__rept_cod_DIR,1.130727590031702
