mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__class_weight,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__n_estimators,params,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_neg_brier_score,split1_test_neg_brier_score,split2_test_neg_brier_score,mean_test_neg_brier_score,std_test_neg_brier_score,rank_test_neg_brier_score
60.301998933156334,0.7243740375681884,0.9046940008799235,0.014999976135020592,balanced_subsample,20,sqrt,10,200,"{'model__class_weight': 'balanced_subsample', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 10, 'model__n_estimators': 200}",0.12210343544791916,0.12005456935643177,0.1259090587172535,0.12268902117386815,0.00242568813615437,1,0.762175844513556,0.7566299744332763,0.7635641273914044,0.7607899821127456,0.00299567246286644,1,-0.1549578137441521,-0.15563423606108523,-0.15553282672749721,-0.15537495884424488,0.0002978573362458751,4
541.206616560618,5.73079661897463,0.8303893407185873,0.013589503498799883,balanced_subsample,20,0.5,30,200,"{'model__class_weight': 'balanced_subsample', 'model__max_depth': 20, 'model__max_features': 0.5, 'model__min_samples_leaf': 30, 'model__n_estimators': 200}",0.11698960344563389,0.12060660280417378,0.12154674833989038,0.11971431819656601,0.0019645222086709865,2,0.7546119325327157,0.7573979908236133,0.7618549988422921,0.757954974066207,0.0029830828729831196,3,-0.11214004693663682,-0.11196337566582117,-0.11047736300397656,-0.11152692853547819,0.0007456514101419913,2
46.96023980776469,0.7572818335505205,0.8545169035593668,0.010260671939711082,balanced_subsample,20,sqrt,30,200,"{'model__class_weight': 'balanced_subsample', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 30, 'model__n_estimators': 200}",0.12084451098048465,0.12012496362738687,0.11748649081608607,0.11948532180798586,0.0014435906850562676,3,0.764498420302329,0.7557248645607717,0.7617520500964576,0.7606584449865195,0.003664314323300268,2,-0.1767079936900029,-0.17682484278886296,-0.17737661768414625,-0.1769698180543374,0.0002915794712545066,6
253.65158820152283,2.3157787132594736,0.8612983226776123,0.019992833796790475,balanced_subsample,12,0.5,30,200,"{'model__class_weight': 'balanced_subsample', 'model__max_depth': 12, 'model__max_features': 0.5, 'model__min_samples_leaf': 30, 'model__n_estimators': 200}",0.11582157872845725,0.11831312489668772,0.1177318337185432,0.11728884578122939,0.0010643086368029855,4,0.7532506221460569,0.7511873243310976,0.7575263128920082,0.7539880864563875,0.0026398969930154005,4,-0.16118191296774734,-0.16144013316512373,-0.16058301667005273,-0.16106835426764124,0.00035901147178331734,5
255.70416768391928,6.501972581991527,0.8399369716644287,0.011244328918129789,balanced_subsample,12,0.5,10,200,"{'model__class_weight': 'balanced_subsample', 'model__max_depth': 12, 'model__max_features': 0.5, 'model__min_samples_leaf': 10, 'model__n_estimators': 200}",0.11435506820175953,0.11612256435480564,0.11476152546381838,0.11507971934012784,0.0007558422101421417,5,0.7494203392466006,0.7467994621470903,0.7531148575749447,0.7497782196562118,0.00259063874275937,6,-0.15484138026016417,-0.1553782657111604,-0.15435146553900395,-0.15485703717010948,0.00041933558757229763,3
24.623544931411743,0.2295985590583175,0.7924036979675293,0.019013295838270477,balanced_subsample,12,sqrt,10,200,"{'model__class_weight': 'balanced_subsample', 'model__max_depth': 12, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 10, 'model__n_estimators': 200}",0.11603401613904692,0.11221154137786901,0.1129436130237414,0.11372972351355244,0.001656563833482578,6,0.7549030325401846,0.7433237748221295,0.7529795595744601,0.750402122312258,0.00506637210475275,5,-0.19297187759214787,-0.19289997933069625,-0.19267150839476146,-0.19284778843920183,0.0001280581392724225,7
621.3603160381317,2.026956715303269,0.9680972894032797,0.005312435882757986,balanced_subsample,20,0.5,10,200,"{'model__class_weight': 'balanced_subsample', 'model__max_depth': 20, 'model__max_features': 0.5, 'model__min_samples_leaf': 10, 'model__n_estimators': 200}",0.10935091871810726,0.11295313211984148,0.11628511745439007,0.11286305609744628,0.0028315912247267676,7,0.7465734974570737,0.7479555121737436,0.7530993450090017,0.7492094515466063,0.0028078395646074753,7,-0.08463130781063902,-0.08504579192566712,-0.08301438260629841,-0.08423049411420151,0.0008764111174342137,1
23.02198274930318,0.3232898772699503,0.7560087045033773,0.01645122733229675,balanced_subsample,12,sqrt,30,200,"{'model__class_weight': 'balanced_subsample', 'model__max_depth': 12, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 30, 'model__n_estimators': 200}",0.1130902413806528,0.11242408701532156,0.1092620585993326,0.11159212899843567,0.0016699024838184688,8,0.7542245240503412,0.7424149084709134,0.7501571388297742,0.748932190450343,0.004898443897992477,8,-0.19788573274570348,-0.1981116871720183,-0.1981668393963327,-0.19805475310468482,0.00012161785305988544,10
92.41648618380229,2.8893016162169354,0.7002283732096354,0.01953849157485457,balanced_subsample,8,0.5,30,200,"{'model__class_weight': 'balanced_subsample', 'model__max_depth': 8, 'model__max_features': 0.5, 'model__min_samples_leaf': 30, 'model__n_estimators': 200}",0.10840878390970805,0.1099571267683988,0.10644898168299058,0.10827163078703246,0.0014354740725310271,9,0.7453063911103992,0.7387341809158288,0.7451835987965595,0.7430747236075957,0.0030696365292298927,9,-0.1953574894832991,-0.19487141385674345,-0.1945313763789467,-0.19492009323966308,0.00033901128500071884,9
77.54733331998189,4.459093830912095,0.6965658664703369,0.07625792869632766,balanced_subsample,8,0.5,10,200,"{'model__class_weight': 'balanced_subsample', 'model__max_depth': 8, 'model__max_features': 0.5, 'model__min_samples_leaf': 10, 'model__n_estimators': 200}",0.10818166970002843,0.10915719064036218,0.10666287706116219,0.10800057913385093,0.001026318794759287,10,0.7443093125427154,0.738185353619038,0.7446363241056728,0.7423769967558087,0.0029669443630447713,10,-0.19464212907828007,-0.19400546058674034,-0.19362636189175048,-0.19409131718559033,0.0004191056040205344,8
