"Name","Type","Status","Bytes","Url","Path"
"Global_Prevalence_Falls_Older_Adults_2022.pdf","pdf","downloaded","1231258","https://link.springer.com/content/pdf/10.1186/s13018-022-03222-1.pdf","D:\program_FAERS\references\literature\pdf\Global_Prevalence_Falls_Older_Adults_2022.pdf"
"Falls_Risk_Factors_Older_Adults_Frontiers_2022.pdf","pdf","downloaded","2178153","https://www.frontiersin.org/articles/10.3389/fmed.2022.1019094/pdf","D:\program_FAERS\references\literature\pdf\Falls_Risk_Factors_Older_Adults_Frontiers_2022.pdf"
"Aging_Falls_Risk_Systematic_Review_Frontiers_2022.pdf","pdf","downloaded","2376798","https://www.frontiersin.org/articles/10.3389/fpubh.2022.902599/pdf","D:\program_FAERS\references\literature\pdf\Aging_Falls_Risk_Systematic_Review_Frontiers_2022.pdf"
"FDA_Data_Mining_White_Paper.pdf","pdf","downloaded","423242","https://www.fda.gov/downloads/ScienceResearch/DataMiningatFDA/UCM443675.pdf","D:\program_FAERS\references\literature\pdf\FDA_Data_Mining_White_Paper.pdf"
"FDA_Zolpidem_Next_Morning_Impairment_2013.pdf","pdf","downloaded","192438","https://www.fda.gov/media/84992/download","D:\program_FAERS\references\literature\pdf\FDA_Zolpidem_Next_Morning_Impairment_2013.pdf"
"FDA_Zdrugs_Boxed_Warning_Complex_Sleep_Behaviors_2019.pdf","pdf","failed: 远程服务器返回错误: (404) 未找到。","0","https://www.fda.gov/media/123819/download","D:\program_FAERS\references\literature\pdf\FDA_Zdrugs_Boxed_Warning_Complex_Sleep_Behaviors_2019.pdf"
"DailyMed_Zolpidem_Tartrate_Label.pdf","pdf","downloaded","287593","https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=8a0a454e-b18e-4d89-bf16-943c4c968fe2","D:\program_FAERS\references\literature\pdf\DailyMed_Zolpidem_Tartrate_Label.pdf"
"Zolpidem_Elderly_Fracture_Study_2012.html","html","downloaded","167406","https://pmc.ncbi.nlm.nih.gov/articles/PMC3412984/","D:\program_FAERS\references\literature\html\Zolpidem_Elderly_Fracture_Study_2012.html"
"Zolpidem_Fractures_Initial_Prescription_Older_Adults_2011.html","html","downloaded","182295","https://pubmed.ncbi.nlm.nih.gov/22091502/","D:\program_FAERS\references\literature\html\Zolpidem_Fractures_Initial_Prescription_Older_Adults_2011.html"
"Nonbenzodiazepine_Hypnotic_Hip_Fracture_Nursing_Home_2013.html","html","downloaded","21264","https://pubmed.ncbi.nlm.nih.gov/23460413/","D:\program_FAERS\references\literature\html\Nonbenzodiazepine_Hypnotic_Hip_Fracture_Nursing_Home_2013.html"
"FDA_Data_Mining_CBER.html","html","downloaded","29708","https://www.fda.gov/science-research/data-mining/data-mining-center-biologics-evaluation-and-research","D:\program_FAERS\references\literature\html\FDA_Data_Mining_CBER.html"
"ROR_Advantages_over_PRR_2004.html","html","downloaded","21264","https://pubmed.ncbi.nlm.nih.gov/15317031/","D:\program_FAERS\references\literature\html\ROR_Advantages_over_PRR_2004.html"
"READUS_PV_Reporting_Disproportionality_2024.html","html","downloaded","639079","https://link.springer.com/article/10.1007/s40264-024-01423-7","D:\program_FAERS\references\literature\html\READUS_PV_Reporting_Disproportionality_2024.html"
"Evolving_Role_Disproportionality_Pharmacovigilance_2024.html","html","downloaded","121579","https://pubmed.ncbi.nlm.nih.gov/38913869/","D:\program_FAERS\references\literature\html\Evolving_Role_Disproportionality_Pharmacovigilance_2024.html"
"2026-05-21T17:09:12","https://www.fda.gov/safety/medical-product-safety-information/certain-prescription-insomnia-medicines-new-boxed-warning-due-risk-serious-injuries-caused","D:\program_FAERS\references\literature\html\FDA_Zdrugs_Boxed_Warning_Complex_Sleep_Behaviors_2019.html","success",35223,""
"2026-05-21T17:09:12","https://www.fda.gov/consumers/consumer-updates/taking-z-drugs-insomnia-know-risks","D:\program_FAERS\references\literature\html\FDA_Taking_Z_Drugs_Know_Risks.html","success",38793,""
"2026-05-21T17:09:12","https://www.fda.gov/drugs/postmarket-drug-safety-information-patients-and-providers/sleep-disorder-sedative-hypnotic-drug-information","D:\program_FAERS\references\literature\html\FDA_Sedative_Hypnotic_Drug_Information.html","success",32908,""
"2026-05-21T17:09:17","https://www.czech-neuro.cz/content/uploads/2023/12/riemann_2023_the-european-insomnia-guideline-an-update-2023.pdf","D:\program_FAERS\references\literature\pdf\European_Insomnia_Guideline_2023.pdf","success",2325637,""
"2026-05-21T17:09:20","https://pubmed.ncbi.nlm.nih.gov/38016484/","D:\program_FAERS\references\literature\html\PubMed_European_Insomnia_Guideline_2023.html","success",225385,""
"2026-05-21T17:09:20","https://pubmed.ncbi.nlm.nih.gov/32323442/","D:\program_FAERS\references\literature\html\PubMed_Zdrugs_Complex_Sleep_Behaviors_FDA_2020.html","success",21265,""
"2026-05-21T17:09:21","https://pubmed.ncbi.nlm.nih.gov/33258763/","D:\program_FAERS\references\literature\html\PubMed_Zdrugs_Falls_Focused_Review_2020.html","success",21264,""
"2026-05-21T17:09:21","https://pubmed.ncbi.nlm.nih.gov/22091502/","D:\program_FAERS\references\literature\html\PubMed_Zolpidem_Initial_Prescription_Fracture_2011.html","success",21264,""
"2026-05-21T17:09:21","https://pubmed.ncbi.nlm.nih.gov/23165956/","D:\program_FAERS\references\literature\html\PubMed_Zolpidem_Inpatient_Falls_2013.html","success",21265,""
"2026-05-21T17:09:22","https://pubmed.ncbi.nlm.nih.gov/25587493/","D:\program_FAERS\references\literature\html\PubMed_NonBZD_Hypnotics_Falls_Older_Men_2015.html","success",21261,""
"2026-05-21T17:09:22","https://pubmed.ncbi.nlm.nih.gov/40904305/","D:\program_FAERS\references\literature\html\PubMed_Chinese_Insomnia_Guideline_2025.html","success",21265,""
"2026-05-21T17:09:24","https://pmc.ncbi.nlm.nih.gov/articles/PMC10752114/","D:\program_FAERS\references\literature\html\ML_Models_Signal_Detection_PV_2023.html","success",205179,""
"2026-05-21T17:09:25","https://pubmed.ncbi.nlm.nih.gov/23794943/","D:\program_FAERS\references\literature\html\PubMed_FAERS_Data_Mining_Public_Version_2013.html","success",127765,""
"2026-05-21T17:09:27","https://pubmed.ncbi.nlm.nih.gov/35758373/","D:\program_FAERS\references\literature\html\PubMed_ADR_Statistical_ML_Methods_Review_2022.html","success",148103,""
"2026-05-21T17:09:27","https://pubmed.ncbi.nlm.nih.gov/36218170/","D:\program_FAERS\references\literature\html\PubMed_Drug_Safety_Signal_EHR_Methods_Review_2022.html","success",21264,""
"2026-05-21T17:09:28","https://www.mdpi.com/2226-4787/12/3/70","D:\program_FAERS\references\literature\html\Evolving_Role_Disproportionality_PV_2024_MDPI.html","failed",0,"远程服务器返回错误: (403) 已禁止。"
