feature,importance
bool__indi_soc_hepatobiliary_disorders,0.0016078072
categorical__reporter_country_GR,0.001599557
categorical__occr_country_SI,0.0015932812
categorical__rpsr_cod_HP|UF,0.0015925925
categorical__reporter_country_AT,0.001582934
categorical__occr_country_CZ,0.0015815342
categorical__rpsr_cod_HP|SDY,0.0015669757
bool__is_eszopiclone,0.0015602132
bool__indi_soc_injury_poisoning_and_procedural_complications,0.0015510956
bool__indi_soc_endocrine_disorders,0.0015490396
categorical__cns_coprescription_bucket_2,0.001543106
bool__indi_soc_surgical_and_medical_procedures,0.0015268798
categorical__reporter_country_TH,0.001514851
categorical__reporter_country_FI,0.0015133471
categorical__reporter_country_PORTUGAL,0.0015034749
bool__indi_soc_congenital_familial_and_genetic_disorders,0.0015023843
categorical__rpsr_cod_CR|HP,0.0014935364
categorical__reporter_country_CH,0.0014909898
bool__is_zopiclone,0.0014893354
numeric__distinct_indi_n,0.0014853221
categorical__occr_country_IN,0.0014756132
categorical__reporter_country_CO,0.0014722656
categorical__occr_country_DK,0.0014499762
categorical__reporter_country_CHINA,0.0014430676
categorical__rpsr_cod_CR|FGN|HP|OTH,0.0014416887
categorical__reporter_country_ARGENTINA,0.0014405274
categorical__occr_country_BD,0.0014314812
categorical__rpsr_cod_FGN|HP|OTH|SDY,0.0014273666
numeric__zdrug_count,0.0014260503
categorical__occr_country_RU,0.0014232311
bool__is_opioid,0.0014173087
categorical__reporter_country_BRAZIL,0.001413385
categorical__reporter_country_FINLAND,0.0014029371
categorical__reporter_country_CY,0.0013897717
categorical__occr_country_IE,0.0013816878
categorical__reporter_country_VENEZUELA,0.0013785198
numeric__log_distinct_drug_n,0.0013777657
categorical__occr_country_GR,0.0013766376
categorical__rpsr_cod_OTH,0.0013717051
categorical__occr_country_AT,0.0013599962
categorical__occr_country_PR,0.0013550117
categorical__reporter_country_BE,0.0013541146
categorical__occr_country_SK,0.0013465995
categorical__distinct_drug_n_bucket_3-4,0.001334889
bool__pheno_visual_disturbance,0.0013307947
bool__indi_soc_renal_and_urinary_disorders,0.001329837
categorical__occr_country_NZ,0.0013217338
categorical__reporter_country_INDIA,0.0013164831
categorical__reporter_country_SINGAPORE,0.0013107406
categorical__reporter_country_ZA,0.0013063762
bool__is_zolpidem,0.0013021843
categorical__occr_country_CH,0.0012834047
categorical__occr_country_CO,0.0012821712
categorical__occr_country_VE,0.0012790856
