n_rows,positive_cases,positive_rate,threshold,roc_auc,average_precision,brier_score,accuracy,precision,recall,f1,specificity,tn,fp,fn,tp,top_5pct_n,top_5pct_positive_cases,top_5pct_positive_rate,top_5pct_lift,top_10pct_n,top_10pct_positive_cases,top_10pct_positive_rate,top_10pct_lift,fold,train_rows,valid_rows,train_positive_rate,valid_positive_rate
133334,4309,0.03231733841330793,0.5,0.799296261673712,0.16527811123103922,0.14668924913467346,0.8404307978460108,0.11058067477622217,0.5590624274773729,0.18464014716026672,0.849827552799845,109649,19376,1900,2409,6667,1226,0.18389080545972702,5.690159353717161,13334,1887,0.14151792410379482,4.379009257938125,1,266666,133334,0.032310080775201935,0.03231733841330793
133333,4308,0.032310080775201935,0.5,0.7923092683016344,0.16065021335534393,0.1468744666976715,0.8356220890552226,0.1051970763642886,0.5445682451253482,0.17633131647187042,0.8453400503778338,109070,19955,1962,2346,6667,1200,0.1799910004499775,5.570738176183114,13334,1838,0.13784310784460777,4.266256986593567,2,266667,133333,0.03231370960786299,0.032310080775201935
133333,4308,0.032310080775201935,0.5,0.7988941694880737,0.16056446706654287,0.14720172562555292,0.8405496013740035,0.11069263273929818,0.5594243268337976,0.1848159509202454,0.8499360589033134,109663,19362,1898,2410,6667,1225,0.18374081295935205,5.686795221520262,13334,1861,0.13956802159892007,4.3196432274486565,3,266667,133333,0.03231370960786299,0.032310080775201935
