model,feature_set,run_type,train_sample_n,train_rows,validation_rows,test_rows,validation_roc_auc,validation_ap,validation_brier,test_roc_auc,test_ap,test_brier,test_recall,test_precision,test_top_5pct_positive_rate,test_top_5pct_lift,test_top_10pct_positive_rate,test_top_10pct_lift,best_cv_ap
XGBoost,core,full_train_no_sampling,0,3511708,313722,329593,0.792065,0.129658,0.024924,0.782681,0.137620,0.029018,0.743681,0.069866,0.156735,4.983494,0.122512,3.895345,0.151816
XGBoost,enhanced,full_train_no_sampling,0,3511708,313722,329593,0.822280,0.175338,0.024272,0.815002,0.188257,0.028183,0.758923,0.079059,0.196845,6.258790,0.145267,4.618848,0.193827
