n_rows,positive_cases,positive_rate,threshold,roc_auc,average_precision,brier_score,accuracy,precision,recall,f1,specificity,tn,fp,fn,tp,top_5pct_n,top_5pct_positive_cases,top_5pct_positive_rate,top_5pct_lift,top_10pct_n,top_10pct_positive_cases,top_10pct_positive_rate,top_10pct_lift,fold,train_rows,valid_rows,train_positive_rate,valid_positive_rate
6667,215,0.03224838758062097,0.5,0.7326954685044479,0.08875523632653914,0.03056041072058044,0.9676016199190041,0.0,0.0,0.0,0.999845009299442,6451,1,215,0,334,42,0.12574850299401197,3.899373346330594,667,70,0.10494752623688156,3.2543495694013456,1,13333,6667,0.03232580814520363,0.03224838758062097
6667,216,0.03239838008099595,0.5,0.7656715582424776,0.10630657944504868,0.030200184113952557,0.9676016199190041,0.0,0.0,0.0,1.0,6451,0,216,0,334,47,0.1407185628742515,4.343382679086272,667,74,0.11094452773613193,3.4243850297073686,2,13333,6667,0.03225080627015675,0.03239838008099595
6666,215,0.032253225322532254,0.5,0.7405810528744416,0.11307163073333848,0.030076953566514453,0.9678967896789679,1.0,0.004651162790697674,0.009259259259259259,1.0,6451,0,214,1,334,43,0.12874251497005987,3.9916167664670654,667,70,0.10494752623688156,3.253861441372337,3,13334,6666,0.03232338383080846,0.032253225322532254
