feature,odds_ratio
bool__event_date_known,2.4851035845183986
bool__indi_soc_nervous_system_disorders,2.2927612764435814
categorical__rept_cod_EXP,1.7626598714409405
bool__indi_soc_musculoskeletal_and_connective_tissue_disorders,1.7413050228337834
bool__indi_soc_vascular_disorders,1.402958795045839
bool__indi_soc_cardiac_disorders,1.3887212713251993
bool__has_ss_drug,1.370847009637317
bool__is_benzo,1.3351606422190871
categorical__occr_country_CA,1.3223241832443817
categorical__cns_coprescription_bucket_1,1.27878571443973
categorical__reporter_country_CA,1.2677239760866057
categorical__e_sub_N,1.251509014910267
categorical__occr_country_AR,1.2175492390816605
categorical__occr_country_US,1.2174530775330863
bool__any_cns_coprescription,1.2171657792893265
bool__indi_soc_psychiatric_disorders,1.1958441710435503
categorical__sex_clean_F,1.1949337307647823
categorical__reporter_country_AR,1.1923569859435126
numeric__age_years,1.1911126723041656
categorical__reporter_country_COUNTRY NOT SPECIFIED,1.1843186533412629
bool__is_antidepressant,1.1794341226021623
categorical__reporter_country_FRANCE,1.1682764136746704
categorical__distinct_drug_n_bucket_0-1,1.1643195987809825
categorical__occr_country_DE,1.1539568539393983
categorical__reporter_country_DE,1.1413200515517932
numeric__concomitant_drug_n,1.1305372187179468
numeric__drug_n,1.1101876515959317
categorical__distinct_drug_n_bucket_20+,1.1055269936974543
bool__very_high_drug_burden_20,1.1055269936974543
categorical__reporter_country_UNITED STATES,1.1029706714373577
numeric__cns_coprescription_count,1.098616473845891
categorical__age_group_>=85,1.098278035841889
categorical__drug_n_bucket_3-4,1.0970471457679525
categorical__quarter_Q1,1.0953259972675011
numeric__log_drug_n,1.0937934197373547
categorical__reporter_country_UNITED KINGDOM,1.0925090124114303
categorical__rpsr_cod_unknown,1.0848401642773153
categorical__rept_cod_DIR,1.0753861434201355
bool__indi_soc_surgical_and_medical_procedures,1.0749518572947292
categorical__occr_country_AU,1.0743132826008301
categorical__quarter_Q2,1.0682546439642833
bool__indi_insomnia,1.0594312590354433
bool__is_zopiclone,1.0592748437537374
categorical__reporter_country_unknown,1.05743169179485
categorical__reporter_country_AU,1.057089594867036
"categorical__reporter_country_KOREA, REPUBLIC OF",1.0558748736539578
categorical__occr_country_GB,1.0556307607037518
categorical__reporter_country_CO,1.050653059011306
categorical__rpsr_cod_FGN|HP|OTH,1.0494581266908505
categorical__rpsr_cod_CSM|HP|OTH,1.046975748180448
categorical__reporter_country_BRAZIL,1.0448296836283946
numeric__distinct_drug_n,1.0442596686085435
categorical__occr_country_CO,1.0420367091630112
categorical__reporter_country_BR,1.040131961935392
bool__is_antipsychotic,1.0360434157547722
bool__is_other_zdrug,1.0341317467041815
categorical__drug_n_bucket_5-9,1.0326905271698075
categorical__occr_country_unknown,1.0319211848883576
bool__other_zdrug_as_suspect,1.0294521166289268
categorical__reporter_country_SAUDI ARABIA,1.0294358451906618
categorical__reporter_country_PK,1.0287199686454434
"categorical__reporter_country_TAIWAN, PROVINCE OF CHINA",1.0286259657122543
categorical__occr_country_IE,1.0280660902574834
categorical__reporter_country_COLOMBIA,1.0265149629401058
categorical__occr_country_MT,1.0257539023241726
categorical__reporter_country_MT,1.0257539023241726
categorical__occr_country_PK,1.0251104240012243
categorical__age_group_75-84,1.0246908287336687
categorical__reporter_country_PR,1.0241689252861625
categorical__rpsr_cod_HP|LIT,1.0239074968592916
categorical__rpsr_cod_HP|OTH|SDY,1.023016682510093
categorical__rpsr_cod_FGN|OTH,1.0213495458570334
categorical__rpsr_cod_CR|FGN|HP|OTH,1.0207110573451623
categorical__occr_country_FI,1.0206147493507554
numeric__ps_drug_n,1.0202609674600776
categorical__rpsr_cod_HP|UF,1.0202144281503953
categorical__occr_country_PR,1.0194774290451303
categorical__reporter_country_FI,1.0191059887255285
categorical__occr_country_BR,1.0189995379884076
categorical__rpsr_cod_FGN|HP,1.0177199812690407
bool__indi_anxiety,1.0175110646729786
bool__indi_soc_investigations,1.0168108587082858
categorical__occr_country_CZ,1.0166157395917201
categorical__reporter_country_CZ,1.016342870207528
categorical__reporter_country_GB,1.0161054086465644
categorical__reporter_country_CHINA,1.0155213084790866
categorical__reporter_country_AUSTRALIA,1.0137550929106227
categorical__rpsr_cod_CSM|HP,1.012548581448746
categorical__rpsr_cod_FGN|HP|LIT,1.0064810666504065
categorical__reporter_country_DENMARK,1.006258864471188
numeric__ss_drug_n,1.003731039984278
categorical__occr_country_CH,1.0034169371724715
categorical__occr_country_TW,1.0031678686406704
bool__has_ps_drug,1.002785278252836
categorical__reporter_country_TW,1.0025056082460206
categorical__drug_n_bucket_20+,1.001909779262505
categorical__reporter_country_CANADA,1.001369278223665
categorical__rpsr_cod_FGN|HP|OTH|SDY,1.0013371694546722
categorical__distinct_drug_n_bucket_2,1.000484134830464
bool__indi_soc_pregnancy_puerperium_and_perinatal_conditions,1.0
categorical__reporter_country_HUNGARY,0.999664787321433
bool__indi_soc_product_issues,0.9995794973671966
categorical__rpsr_cod_CSM|OTH|SDY,0.999532257323179
bool__zolpidem_as_suspect,0.9995220332417775
categorical__reporter_country_NG,0.999489524573379
categorical__reporter_country_VE,0.9994812983519076
categorical__reporter_country_UGANDA,0.9994757572559022
categorical__reporter_country_CHILE,0.999466138778596
categorical__occr_country_SV,0.999458731336829
categorical__reporter_country_SV,0.999458731336829
categorical__reporter_country_SWITZERLAND,0.999436712832693
categorical__rpsr_cod_CR|FGN|HP|LIT,0.9994102162418845
categorical__reporter_country_MA,0.9993855719089895
categorical__reporter_country_RS,0.9993751300666005
bool__indi_soc_renal_and_urinary_disorders,0.9993721544723729
categorical__reporter_country_TUNISIA,0.9993557368362942
categorical__rpsr_cod_CSM|FGN|HP|OTH,0.9993464897004096
categorical__reporter_country_LITHUANIA,0.999310117333414
categorical__reporter_country_AM,0.9993010577990948
categorical__occr_country_AM,0.9993010577990948
categorical__rpsr_cod_CR|FGN|SDY,0.9992928866016313
categorical__rpsr_cod_CR|FGN|HP|LIT|OTH,0.99923323883809
categorical__occr_country_KZ,0.9992256141979383
categorical__reporter_country_KZ,0.9992256141979383
categorical__reporter_country_THAILAND,0.9991799526719104
categorical__reporter_country_ID,0.999158572075303
categorical__occr_country_ID,0.999158572075303
categorical__rpsr_cod_CR,0.9991565653123528
categorical__rpsr_cod_FGN|HP|LIT|SDY,0.9991558410920078
categorical__reporter_country_HN,0.9991507724057335
categorical__reporter_country_CROATIA (LOCAL NAME: HRVATSKA),0.999138635932265
categorical__rpsr_cod_CR|CSM|HP,0.9991305845313333
categorical__reporter_country_SLOVAKIA (SLOVAK REPUBLIC),0.9991113174210053
categorical__rpsr_cod_CSM|DT,0.9990736512268363
categorical__occr_country_MK,0.999069243516347
categorical__reporter_country_MK,0.999069243516347
categorical__occr_country_DO,0.9990666441123472
categorical__reporter_country_DO,0.9990666441123472
categorical__rept_cod_5DAY,0.9990660176211332
categorical__rpsr_cod_DT|HP|OTH|SDY,0.9990566993849958
categorical__occr_country_PY,0.999056286026473
categorical__reporter_country_PY,0.999056286026473
categorical__reporter_country_MOROCCO,0.9990250771486285
categorical__rpsr_cod_CR|FGN|HP|OTH|SDY,0.9989890141469898
categorical__rpsr_cod_CR|HP|OTH,0.9989862272623692
categorical__reporter_country_HONG KONG,0.9989618399912262
bool__is_zaleplon,0.9989060714430483
categorical__reporter_country_A1,0.9988329725736133
categorical__reporter_country_UKRAINE,0.9988154595193175
categorical__reporter_country_EGYPT,0.9988018983131859
categorical__occr_country_RS,0.9987848319807007
categorical__occr_country_HN,0.9987100531227076
categorical__rpsr_cod_CR|FGN|HP|SDY,0.9986917760454612
categorical__reporter_country_PA,0.9986633467924516
categorical__rpsr_cod_HP|SDY|UF,0.9985774495761461
categorical__reporter_country_AT,0.9985278988962935
categorical__rpsr_cod_CSM|FGN|OTH|SDY,0.998487600340474
categorical__occr_country_DZ,0.998471036536047
categorical__rpsr_cod_DT,0.998442580622515
categorical__rpsr_cod_CSM|HP|OTH|SDY,0.9984007854933745
categorical__reporter_country_FINLAND,0.9983883639030702
categorical__reporter_country_PUERTO RICO,0.9983862711449869
categorical__reporter_country_INDIA,0.998294138731696
categorical__reporter_country_ALGERIA,0.9982674436690688
categorical__rpsr_cod_CR|CSM|HP|OTH,0.9982642007123426
categorical__reporter_country_BOLIVIA,0.9981927828960439
categorical__rpsr_cod_FGN|SDY,0.9981882104176597
categorical__reporter_country_SLOVENIA,0.9980532761918943
categorical__occr_country_LU,0.9980473799093658
categorical__reporter_country_MALAYSIA,0.9980472883570991
categorical__reporter_country_ARGENTINA,0.9980406773832922
categorical__rpsr_cod_FGN|HP|SDY,0.9980364725740078
categorical__reporter_country_EL SALVADOR,0.9979834860635987
categorical__occr_country_MA,0.9978858294306279
categorical__reporter_country_PORTUGAL,0.9978120588620205
categorical__rpsr_cod_CSM|HP|UF,0.9978015404161807
categorical__reporter_country_QA,0.9977512393240764
categorical__occr_country_VN,0.9977486306493654
categorical__reporter_country_PHILIPPINES,0.9977073142178488
categorical__occr_country_LV,0.9976934527935869
categorical__reporter_country_LV,0.9976934527935869
categorical__rpsr_cod_CSM|SDY,0.9976738833332873
categorical__rpsr_cod_FGN|OTH|SDY,0.9976217668545058
categorical__rpsr_cod_LIT,0.9975078390820715
categorical__reporter_country_SINGAPORE,0.9974738270032024
categorical__occr_country_AE,0.9974394537245946
categorical__reporter_country_TURKEY,0.9974256106889634
categorical__reporter_country_LU,0.9973969132253386
categorical__rpsr_cod_HP|LIT|OTH,0.997361045106489
categorical__occr_country_UA,0.9973544164830374
categorical__rpsr_cod_DT|HP|SDY,0.9973484911091047
