dataset,metric,value,column,n_rows,missing_n,blank_n,missing_or_blank_rate
ml_feature_v2_2004_2025,,,indi_soc_metabolism_and_nutrition_disorders,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,indi_soc_musculoskeletal_and_connective_tissue_disorders,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,indi_soc_neoplasms_benign_malignant_and_unspecified_incl_cysts_and_polyps,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,indi_soc_nervous_system_disorders,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,indi_soc_psychiatric_disorders,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,indi_soc_renal_and_urinary_disorders,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,indi_soc_reproductive_system_and_breast_disorders,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,indi_soc_respiratory_thoracic_and_mediastinal_disorders,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,indi_soc_skin_and_subcutaneous_tissue_disorders,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,indi_soc_social_circumstances,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,indi_soc_surgical_and_medical_procedures,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,indi_soc_vascular_disorders,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,indi_soc_product_issues,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,indi_soc_pregnancy_puerperium_and_perinatal_conditions,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,rpsr_cod,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,has_rpsr,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,therapy_record_n,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,has_start_dt,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,has_end_dt,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,duration_known,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,pheno_sedation_somnolence,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,pheno_consciousness_cognition,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,pheno_dizziness_vertigo_syncope,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,pheno_gait_balance_motor,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,pheno_hypotension,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,pheno_visual_disturbance,4155023.0,0.0,0.0,0.0
