period,indi_pt_norm,n_rows
2020q1,HER 2 POSITIVE GASTRIC CANCER,3
2020q2,PARAINFLUENZAE VIRUS INFECTION,1
2021q1,PARAINFLUENZAE VIRUS INFECTION,1
2022q1,PARAINFLUENZAE VIRUS INFECTION,2
2022q3,PARAINFLUENZAE VIRUS INFECTION,1
2022q4,PARAINFLUENZAE VIRUS INFECTION,1
2023q2,PARAINFLUENZAE VIRUS INFECTION,1
2023q3,PARAINFLUENZAE VIRUS INFECTION,1
2023q4,PARAINFLUENZAE VIRUS INFECTION,2
2024q2,PARAINFLUENZAE VIRUS INFECTION,1
2024q4,PARAINFLUENZAE VIRUS INFECTION,2
2025q2,PARAINFLUENZAE VIRUS INFECTION,1
2025q3,PARAINFLUENZAE VIRUS INFECTION,1
