dataset,metric,value,column,n_rows,missing_n,blank_n,missing_or_blank_rate
demo_v2_2005q4,,,rept_cod,15588.0,0.0,0.0,0.0
demo_v2_2005q4,,,e_sub,15588.0,0.0,0.0,0.0
demo_v2_2005q4,,,reporter_country,15588.0,0.0,0.0,0.0
demo_v2_2005q4,,,occr_country,15588.0,0.0,0.0,0.0
demo_v2_2005q4,,,event_date_known,15588.0,0.0,0.0,0.0
demo_v2_2006q1,n_rows,16148.0,,,,,
demo_v2_2006q1,unique_caseid,16148.0,,,,,
demo_v2_2006q1,duplicate_caseid_rows,0.0,,,,,
demo_v2_2006q1,,,caseid,16148.0,0.0,0.0,0.0
demo_v2_2006q1,,,age_years,16148.0,0.0,0.0,0.0
demo_v2_2006q1,,,age_group,16148.0,0.0,0.0,0.0
demo_v2_2006q1,,,rept_cod,16148.0,0.0,0.0,0.0
demo_v2_2006q1,,,e_sub,16148.0,0.0,0.0,0.0
demo_v2_2006q1,,,reporter_country,16148.0,0.0,0.0,0.0
demo_v2_2006q1,,,occr_country,16148.0,0.0,0.0,0.0
demo_v2_2006q1,,,event_date_known,16148.0,0.0,0.0,0.0
demo_v2_2006q2,n_rows,15606.0,,,,,
demo_v2_2006q2,unique_caseid,15606.0,,,,,
demo_v2_2006q2,duplicate_caseid_rows,0.0,,,,,
demo_v2_2006q2,,,caseid,15606.0,0.0,0.0,0.0
demo_v2_2006q2,,,age_years,15606.0,0.0,0.0,0.0
demo_v2_2006q2,,,age_group,15606.0,0.0,0.0,0.0
demo_v2_2006q2,,,rept_cod,15606.0,0.0,0.0,0.0
demo_v2_2006q2,,,e_sub,15606.0,0.0,0.0,0.0
demo_v2_2006q2,,,reporter_country,15606.0,0.0,0.0,0.0
demo_v2_2006q2,,,occr_country,15606.0,0.0,0.0,0.0
demo_v2_2006q2,,,event_date_known,15606.0,0.0,0.0,0.0
demo_v2_2006q3,n_rows,13825.0,,,,,
demo_v2_2006q3,unique_caseid,13825.0,,,,,
demo_v2_2006q3,duplicate_caseid_rows,0.0,,,,,
