target_key,target_label,fall_n,exposed_n,fall_percent,ROR,ROR_95CI_low,ROR_95CI_high,IC025,OE05,hospitalization_fall_percent,death_fall_percent,life_threatening_fall_percent,traditional_signal_strength_score,active_comparator_consistency_score,adjusted_model_stability_score,exposure_definition_sensitivity_score,reporting_structure_stability_score,traditional_signal_strength_status,active_comparator_consistency_status,adjusted_model_stability_status,exposure_definition_sensitivity_status,reporting_structure_stability_status,obtained_score,available_score,score_fraction_available,contradiction_flag,contradictory_domains,support_class,phenotype_modifier,external_evidence_modifier,interpretation,total_score,max_score,credibility_class
zolpidem,Zolpidem,986,7773,12.684935031519364,4.708138520203322,4.402862012107547,5.034581657218848,1.984539245191932,3.9972611982232538,76.36916835699797,5.273833671399594,10.04056795131846,2,2.0,2.0,2.0,0.0,supportive,supportive,supportive,supportive,neutral,8,9,0.8888888888888888,False,,high support,supportive,established,High Support for an elevated strict-fall reporting signal; phenotype=supportive; external evidence=established.,8,9,high support
z_drug,Z-drugs,1612,14600,11.041095890410958,4.036440584791184,3.831653069393021,4.252173226406006,1.803929795034773,3.519202794724172,76.73697270471465,6.079404466501241,6.9478908188585615,2,2.0,2.0,1.0,0.0,supportive,supportive,supportive,contradictory,contradictory,7,9,0.7777777777777778,True,exposure_definition_sensitivity|reporting_structure_stability,moderate support,not_available,established,Moderate Support for an elevated strict-fall reporting signal; phenotype=not_available; external evidence=established.,7,9,moderate support
benzodiazepine,Benzodiazepines,2576,29058,8.86502856356253,3.1776961948642453,3.0505046622774,3.3101910092856803,1.5019589028818017,2.849902970603049,76.78571428571429,4.697204968944099,4.736024844720497,2,2.0,2.0,,,supportive,supportive,supportive,not_available,not_available,6,6,1.0,False,,moderate support,supportive,established,Moderate Support for an elevated strict-fall reporting signal; phenotype=supportive; external evidence=established.,6,6,moderate support
other_insomnia_related,Other insomnia-related drugs,1312,16568,7.918879768227908,2.788496580146028,2.634858486446649,2.951093281663245,1.3167768078877589,2.512847606075704,75.3810975609756,4.801829268292683,3.429878048780488,2,2.0,1.0,,,supportive,supportive,supportive,not_available,not_available,5,6,0.8333333333333334,False,,moderate support,not_available,absent,Moderate Support for an elevated strict-fall reporting signal; phenotype=not_available; external evidence=absent.,5,6,moderate support
other_z_drug,Other Z-drugs,638,7040,9.0625,3.220927765488265,2.968635252059457,3.494661617083513,1.4775068455822102,2.8196159104261533,77.58620689655173,7.523510971786834,2.037617554858934,2,,,,,supportive,not_available,not_available,not_available,not_available,2,2,1.0,False,,insufficient evidence,neutral,established,Insufficient Evidence for an elevated strict-fall reporting signal; phenotype=neutral; external evidence=established.,2,2,insufficient evidence
orexin_antagonist,Orexin receptor antagonists,64,2741,2.334914264866837,0.7698597035653655,0.6007825606487581,0.986519919176315,-0.7205439389906534,0.631240719816813,42.1875,4.6875,4.6875,0,,,,,contradictory,not_available,not_available,not_available,not_available,0,2,0.0,True,traditional_signal_strength,insufficient evidence,not_available,absent,Insufficient Evidence for an elevated strict-fall reporting signal; phenotype=not_available; external evidence=absent.,0,2,insufficient evidence
