mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__reg_lambda,param_model__n_estimators,param_model__min_child_weight,param_model__max_depth,param_model__learning_rate,param_model__colsample_bytree,params,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_neg_brier_score,split1_test_neg_brier_score,split2_test_neg_brier_score,mean_test_neg_brier_score,std_test_neg_brier_score,rank_test_neg_brier_score
4.199967861175537,0.07052516416363694,0.6022147337595621,0.0219483708834135,0.8,5.0,600,5,5,0.03,0.8,"{'model__subsample': 0.8, 'model__reg_lambda': 5.0, 'model__n_estimators': 600, 'model__min_child_weight': 5, 'model__max_depth': 5, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.8}",0.16884483206976852,0.16610008724770212,0.16571296736490326,0.16688596222745797,0.0013941171029842718,1,0.806500759552617,0.8018092113607574,0.8082747471977982,0.8055282393703909,0.0027276528424810633,1,-0.16689284145832062,-0.16644415259361267,-0.16718901693820953,-0.16684200366338095,0.0003062069931801852,2
3.2105612754821777,0.07657956500572356,0.5134232838948568,0.003742411354686221,0.8,5.0,400,1,5,0.05,1.0,"{'model__subsample': 0.8, 'model__reg_lambda': 5.0, 'model__n_estimators': 400, 'model__min_child_weight': 1, 'model__max_depth': 5, 'model__learning_rate': 0.05, 'model__colsample_bytree': 1.0}",0.16935454157257557,0.16490092669887121,0.1657471789242344,0.16666754906522707,0.0019311451280079551,2,0.8067069420136898,0.8012579355163008,0.8074072192036661,0.8051240322445521,0.0027486511807124215,2,-0.16536691784858704,-0.1656641811132431,-0.16602186858654022,-0.16568432251612344,0.00026776155358682746,1
3.3277103900909424,0.10738538862972723,0.5366017818450928,0.013751450209240621,0.8,5.0,400,5,5,0.03,0.8,"{'model__subsample': 0.8, 'model__reg_lambda': 5.0, 'model__n_estimators': 400, 'model__min_child_weight': 5, 'model__max_depth': 5, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.8}",0.16845210343744368,0.16498854764432613,0.1644391094447491,0.1659599201755063,0.0017764578317725865,3,0.805534124244129,0.7998370582381935,0.8064753039410464,0.8039488288077896,0.002932740211044944,3,-0.17023561894893646,-0.17027051746845245,-0.17067362368106842,-0.17039325336615244,0.00019876302771669956,7
3.9213284651438394,0.43475807305066566,0.6160206000010172,0.01593571450861839,1.0,1.0,600,5,5,0.03,0.8,"{'model__subsample': 1.0, 'model__reg_lambda': 1.0, 'model__n_estimators': 600, 'model__min_child_weight': 5, 'model__max_depth': 5, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.8}",0.1678247285180036,0.16457119747439214,0.16430509048286512,0.16556700549175363,0.0016001433644477804,4,0.804693319754632,0.798820969426977,0.8051528291340111,0.80288903943854,0.002882670339768105,5,-0.1680247038602829,-0.16846363246440887,-0.1691119521856308,-0.16853342950344086,0.0004466026946001539,5
2.507467190424601,0.04435578248535471,0.5136386553446451,0.009693497939833042,1.0,1.0,400,1,5,0.05,0.8,"{'model__subsample': 1.0, 'model__reg_lambda': 1.0, 'model__n_estimators': 400, 'model__min_child_weight': 1, 'model__max_depth': 5, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.8}",0.167028480348887,0.16450906132812268,0.16480313238505556,0.16544689135402174,0.0011247776841493556,5,0.8039612021341668,0.799333429224289,0.8049231397109634,0.8027392570231396,0.0024400926515171202,7,-0.16730885207653046,-0.16723771393299103,-0.16802863776683807,-0.16752506792545319,0.00035726003389768244,3
3.2117084662119546,0.062464620463839576,0.5189860661824545,0.00843810249304511,0.8,1.0,400,1,5,0.03,1.0,"{'model__subsample': 0.8, 'model__reg_lambda': 1.0, 'model__n_estimators': 400, 'model__min_child_weight': 1, 'model__max_depth': 5, 'model__learning_rate': 0.03, 'model__colsample_bytree': 1.0}",0.16896129813535482,0.16324427794666604,0.16380908688337742,0.1653382209884661,0.00257225818986324,6,0.805796321546684,0.7996680265911197,0.8060782344262203,0.8038475275213414,0.002957593586820744,4,-0.1694265753030777,-0.16973534226417542,-0.1701006293296814,-0.16975418229897818,0.0002755036816193106,6
3.3902251720428467,0.10429730576309558,0.5823740164438883,0.017979548616450597,1.0,1.0,600,1,5,0.03,0.8,"{'model__subsample': 1.0, 'model__reg_lambda': 1.0, 'model__n_estimators': 600, 'model__min_child_weight': 1, 'model__max_depth': 5, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.8}",0.1663915135261964,0.1636602837635771,0.16429825361168748,0.164783350300487,0.0011665885027628109,7,0.8042285094363897,0.798653562349001,0.8051908778736028,0.8026909832196645,0.0028817950097566967,8,-0.16824226081371307,-0.16842590272426605,-0.16880527138710022,-0.16849114497502646,0.000234432136448401,4
2.74837859471639,0.040946827206806154,0.46245423952738446,0.011920129311020945,0.8,1.0,400,5,3,0.1,1.0,"{'model__subsample': 0.8, 'model__reg_lambda': 1.0, 'model__n_estimators': 400, 'model__min_child_weight': 5, 'model__max_depth': 3, 'model__learning_rate': 0.1, 'model__colsample_bytree': 1.0}",0.16552917825368632,0.16234749930900352,0.16049524969714687,0.16279064241994556,0.0020788443970416797,8,0.8039530460998504,0.7996311040755094,0.8047953501702019,0.8027931667818539,0.0022622038599374164,6,-0.1728282868862152,-0.1722579151391983,-0.17292995750904083,-0.17267205317815146,0.0002957667609986008,8
1.9482948780059814,0.02530846148809861,0.4853476683298747,0.01083663649014149,1.0,1.0,200,5,5,0.03,1.0,"{'model__subsample': 1.0, 'model__reg_lambda': 1.0, 'model__n_estimators': 200, 'model__min_child_weight': 5, 'model__max_depth': 5, 'model__learning_rate': 0.03, 'model__colsample_bytree': 1.0}",0.1635850377155931,0.15973096764247202,0.1591806964803713,0.1608322339461455,0.0019594465260669405,9,0.7984424411642939,0.7925090381273594,0.79907620398471,0.7966758944254545,0.0029577505399504883,10,-0.1772366464138031,-0.1770000010728836,-0.17723646759986877,-0.17715770502885184,0.00011151356057934756,9
2.944762627283732,0.02569399910836385,0.516527016957601,0.00848059581013377,1.0,1.0,600,1,3,0.03,0.8,"{'model__subsample': 1.0, 'model__reg_lambda': 1.0, 'model__n_estimators': 600, 'model__min_child_weight': 1, 'model__max_depth': 3, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.8}",0.16359553279869385,0.15904219085493687,0.1577752958709426,0.1601376731748578,0.0024991799466670757,10,0.8011423844030074,0.7939472063618341,0.799635430862531,0.7982416738757908,0.003098339949565555,9,-0.17783518135547638,-0.17790405452251434,-0.17816674709320068,-0.17796866099039713,0.0001428623028826084,10
