feature,importance
categorical__occr_country_MX,0.002183432
categorical__drug_n_bucket_3-4,0.0021773349
categorical__occr_country_CL,0.0021617021
categorical__rpsr_cod_FGN,0.0021543878
categorical__rpsr_cod_FGN|HP,0.0021452166
categorical__reporter_country_BR,0.0021393555
categorical__reporter_country_PH,0.0021384174
bool__pheno_sedation_somnolence,0.002133302
categorical__rpsr_cod_HP|LIT,0.0021289191
categorical__rpsr_cod_CSM,0.0021265848
categorical__reporter_country_CO,0.0020980008
bool__is_opioid,0.0020816296
bool__very_high_drug_burden_20,0.0020680781
categorical__distinct_drug_n_bucket_5-9,0.002064625
categorical__reporter_country_HU,0.0020643633
bool__is_zolpidem,0.00206086
categorical__reporter_country_FI,0.0020498813
bool__indi_soc_injury_poisoning_and_procedural_complications,0.002048805
categorical__occr_country_PH,0.0020486808
bool__indi_soc_renal_and_urinary_disorders,0.0020391461
categorical__occr_country_MY,0.002032948
numeric__distinct_indi_n,0.0020326613
numeric__indi_n,0.0020313943
categorical__reporter_country_MEXICO,0.0020242236
categorical__e_sub_Y,0.0019965481
categorical__rpsr_cod_FGN|HP|OTH|SDY,0.0019951644
bool__indi_anxiety,0.0019946734
categorical__reporter_country_BELGIUM,0.0019784851
categorical__reporter_country_TH,0.0019758043
bool__indi_soc_skin_and_subcutaneous_tissue_disorders,0.0019744397
"categorical__reporter_country_KOREA, REPUBLIC OF",0.0019717058
categorical__reporter_country_DENMARK,0.0019700401
categorical__rpsr_cod_unknown,0.0019674844
categorical__occr_country_BG,0.001957076
categorical__rpsr_cod_CSM|HP,0.0019506321
categorical__reporter_country_SK,0.0019452767
bool__indi_soc_general_disorders_and_administration_site_conditions,0.0019412165
bool__indi_soc_vascular_disorders,0.0019293292
bool__indi_depression,0.0019266179
numeric__interacting_drug_n,0.0019199322
categorical__occr_country_FI,0.0019185268
bool__is_antiepileptic,0.001908989
categorical__distinct_drug_n_bucket_3-4,0.0018999607
categorical__rpsr_cod_CSM|SDY,0.0018792269
bool__is_benzo,0.0018725073
categorical__reporter_country_NO,0.0018282877
categorical__reporter_country_DK,0.0018230133
categorical__distinct_drug_n_bucket_10-19,0.0018087132
categorical__distinct_drug_n_bucket_2,0.001800169
categorical__occr_country_EC,0.0017850902
categorical__occr_country_SK,0.0017838035
categorical__occr_country_CO,0.0017798456
categorical__occr_country_PE,0.0017699765
categorical__reporter_country_CH,0.0017613033
categorical__reporter_country_CHINA,0.0017593849
bool__pheno_visual_disturbance,0.0017372266
categorical__reporter_country_NORWAY,0.0017356236
categorical__reporter_country_unknown,0.00173061
categorical__quarter_Q2,0.001725818
categorical__occr_country_CR,0.001719569
categorical__occr_country_DK,0.0017066357
categorical__reporter_country_AUSTRIA,0.0017027573
categorical__drug_n_bucket_5-9,0.0016922907
categorical__drug_n_bucket_10-19,0.0016791663
categorical__reporter_country_LB,0.0016644227
categorical__occr_country_RU,0.0016464085
categorical__occr_country_IN,0.0016332916
categorical__reporter_country_EG,0.0016163664
categorical__cns_coprescription_bucket_1,0.001613052
categorical__reporter_country_ISRAEL,0.0015993578
bool__zolpidem_as_ps,0.001598269
categorical__occr_country_CH,0.0015029331
categorical__reporter_country_POLAND,0.0014967426
categorical__reporter_country_IRELAND,0.0014791463
categorical__rpsr_cod_FGN|OTH|SDY,0.0014676241
categorical__age_group_75-84,0.0014636884
categorical__rpsr_cod_FGN|HP|LIT|OTH,0.0014332507
bool__any_cns_coprescription,0.0014063276
categorical__reporter_country_MY,0.0013975337
categorical__drug_n_bucket_20+,0.0013883786
categorical__reporter_country_FINLAND,0.0013833625
categorical__reporter_country_TURKEY,0.0013820671
categorical__quarter_Q3,0.0013726271
numeric__indi_unmapped_n,0.0013701714
categorical__quarter_Q4,0.0013469837
categorical__cns_coprescription_bucket_2,0.0013418166
categorical__occr_country_BE,0.0013378984
categorical__quarter_Q1,0.0013236622
bool__is_other_zdrug,0.0012845193
categorical__reporter_country_BE,0.0012770446
categorical__reporter_country_PORTUGAL,0.0012717568
categorical__drug_n_bucket_2,0.00119958
bool__is_zopiclone,0.0011437216
categorical__occr_country_unknown,0.0011336788
bool__indi_soc_hepatobiliary_disorders,0.0010698668
bool__indi_soc_ear_and_labyrinth_disorders,0.0010279585
categorical__rpsr_cod_FGN|HP|OTH,0.000976088
categorical__reporter_country_NEW ZEALAND,0.0007859132
categorical__rpsr_cod_FGN|LIT,0.0007675075
categorical__distinct_drug_n_bucket_20+,0.00024789225
categorical__reporter_country_MA,0.0
categorical__reporter_country_LY,0.0
categorical__reporter_country_LV,0.0
categorical__reporter_country_LUXEMBOURG,0.0
categorical__reporter_country_LU,0.0
categorical__reporter_country_LT,0.0
categorical__reporter_country_LS,0.0
categorical__reporter_country_LK,0.0
categorical__reporter_country_LITHUANIA,0.0
categorical__reporter_country_LEBANON,0.0
categorical__reporter_country_LATVIA,0.0
categorical__reporter_country_RUSSIAN FEDERATION,0.0
categorical__reporter_country_RS,0.0
categorical__reporter_country_SX,0.0
categorical__reporter_country_SV,0.0
categorical__reporter_country_SOUTH AFRICA,0.0
categorical__reporter_country_SN,0.0
categorical__reporter_country_SLOVENIA,0.0
categorical__reporter_country_SLOVAKIA (SLOVAK REPUBLIC),0.0
categorical__reporter_country_SINGAPORE,0.0
categorical__reporter_country_SH,0.0
categorical__reporter_country_SERBIA,0.0
categorical__reporter_country_SD,0.0
categorical__reporter_country_SAUDI ARABIA,0.0
categorical__reporter_country_SAMOA,0.0
categorical__reporter_country_SA,0.0
categorical__reporter_country_MD,0.0
categorical__reporter_country_MC,0.0
categorical__reporter_country_UNITED ARAB EMIRATES,0.0
categorical__reporter_country_UM,0.0
categorical__reporter_country_UKRAINE,0.0
categorical__reporter_country_UGANDA,0.0
categorical__reporter_country_UG,0.0
categorical__reporter_country_UA,0.0
categorical__reporter_country_TZ,0.0
