summary_type,event_name,event_year,period_label,start_year,end_year,interpretation_scope,analysis,outcome_name,outcome_definition,zolpidem_cases,zolpidem_fall_cases,zolpidem_fall_reporting_rate,zolpidem_fall_reporting_rate_pct,reporting_rate_unexposed,reference_fall_reporting_rate_pct,ror,ror_ci_low,ror_ci_high,ror_95ci,prr,ic,ebgm,stability_status,interpretation_note
full_period,full_period,,2004_2025,2004,2025,main,primary_ps_ss,strict_fall,Narrow fall definition,7798,1043,0.13375224416517056,13.375224416517057,0.03164093443858327,3.164093443858327,4.725481604738766,4.426154999469553,5.045050704144026,4.73 (4.43-5.05),4.227190079508896,2.0687750801640603,4.186886849734297,stable,FAERS reporting pattern only; event-year splits are descriptive and not causal effects.
regulatory_period,2013_fda_dose_reduction,2013,pre_2013,2004,2012,main,primary_ps_ss,strict_fall,Narrow fall definition,1624,251,0.1545566502463054,15.455665024630541,0.0364019116233762,3.64019116233762,4.839215059940896,4.227205176858569,5.539831027024283,4.84 (4.23-5.54),4.245838840701262,2.064529348431278,4.148478705796591,stable,FAERS reporting pattern only; event-year splits are descriptive and not causal effects.
regulatory_period,2013_fda_dose_reduction,2013,post_2013,2013,2025,main,primary_ps_ss,strict_fall,Narrow fall definition,6174,792,0.1282798833819242,12.82798833819242,0.03081691602270866,3.0816916022708662,4.628051027052941,4.294341240237351,4.987693131676223,4.63 (4.29-4.99),4.1626450643989195,2.046712321364764,4.120891914305882,stable,FAERS reporting pattern only; event-year splits are descriptive and not causal effects.
regulatory_period,2019_fda_boxed_warning,2019,pre_2019,2004,2018,main,primary_ps_ss,strict_fall,Narrow fall definition,4518,606,0.1341301460823373,13.41301460823373,0.03373401165929236,3.373401165929236,4.437133345467441,4.071856007998221,4.8351789176204285,4.44 (4.07-4.84),3.9761101477354197,1.9781672957212646,3.927167308296138,stable,FAERS reporting pattern only; event-year splits are descriptive and not causal effects.
regulatory_period,2019_fda_boxed_warning,2019,post_2019,2019,2025,main,primary_ps_ss,strict_fall,Narrow fall definition,3280,437,0.13323170731707318,13.323170731707318,0.029707232932282134,2.9707232932282133,5.020479172760962,4.538111250200297,5.554119265589649,5.02 (4.54-5.55),4.4848238683412855,2.1517372076321326,4.421173767717363,stable,FAERS reporting pattern only; event-year splits are descriptive and not causal effects.
