community_id,community_name,node_count,top_terms,total_node_case_count
1,Gait / balance / motor control abnormality,34,DYSARTHRIA|MOTOR DYSFUNCTION|FATIGUE|GASTROINTESTINAL DISORDER|AFFECT LABILITY|PNEUMONIA|COORDINATION ABNORMAL|APHASIA|CEREBROVASCULAR ACCIDENT|DYSPHAGIA|EATING DISORDER|CYSTITIS,2565
2,Consciousness / cognition change,9,CONFUSIONAL STATE|NAUSEA|PAIN|ANXIETY|MALAISE|HEADACHE|MUSCULAR WEAKNESS|VOMITING|PYREXIA,1048
3,Dizziness / vertigo / syncope,6,DIZZINESS|HYPOTENSION|SYNCOPE|HYPONATRAEMIA|COGNITIVE DISORDER|DRUG INTERACTION,504
4,Fracture / injury consequence,1,HEAD INJURY,76
